GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4951: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4952: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4953: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4984: Total - Income statistics in 2015 for private households by household size - 25% sample data,v_CA16_4987: Total - Income statistics in 2015 for one-person private households - 25% sample data,v_CA16_4990: Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,v_CA16_4993: Total - Income statistics in 2015 for economic families in private households - 25% sample data,v_CA16_4996: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,v_CA16_4999: Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6752: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6753: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_5002: Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,v_CA16_5006: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5007: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_2605: Official languages,v_CA16_2604: Official languages,v_CA16_2606: Official languages,v_CA16_2614: Non-official languages,v_CA16_2613: Non-official languages,v_CA16_2615: Non-official languages,v_CA16_5807: Bicycle
5350320.01,CT,Toronto,0.73678,5197,2103,2036,4345,1990,2355,2040,580,1460,1395,445,610,4345,1990,2355,290,350,875,525,2250,4730,2480,1820,4050,2225,20
5350320.02,CT,Toronto,0.85276,5869,2129,2067,5275,2425,2845,2080,415,1665,1555,365,765,5270,2430,2845,290,420,975,560,2630,5575,2945,2195,4785,2590,10
5350321.01,CT,Toronto,1.25768,3830,1340,1258,3410,1655,1755,1265,190,1070,1055,315,550,3410,1655,1755,135,220,455,235,1780,3615,1835,1350,2875,1530,0
5350321.02,CT,Toronto,1.2172,4030,1497,1429,3510,1755,1760,1420,270,1155,1100,325,595,3510,1755,1755,130,225,475,250,1905,3720,1815,1540,3070,1530,10
5350322.01,CT,Toronto,0.20805,4737,2371,2242,4305,1940,2365,2265,775,1485,1335,435,465,4305,1940,2365,305,475,1175,700,1990,4325,2335,1770,3965,2190,15
5350322.02,CT,Toronto,1.40695,3500,1262,1185,2725,1265,1460,1165,360,800,750,235,385,2720,1265,1455,90,265,610,345,1275,2660,1380,1070,2350,1285,10
5350323.01,CT,Toronto,1.04061,4289,1746,1706,3775,1715,2060,1760,460,1295,1260,410,600,3775,1715,2060,195,160,570,410,1890,4150,2260,1280,2740,1455,0
5350323.02,CT,Toronto,1.85999,5367,1935,1849,4180,1940,2245,1760,390,1370,1370,505,640,4180,1940,2245,165,185,505,320,2080,4355,2280,1350,3010,1655,10
5350324.01,CT,Toronto,1.1954,3498,1214,1143,3195,1450,1745,1180,130,1050,1045,240,540,3195,1445,1750,230,110,255,140,1600,3410,1805,1240,2655,1410,0
5350324.02,CT,Toronto,1.89369,6123,2256,2133,5415,2485,2935,2140,320,1820,1775,370,900,5420,2480,2935,425,220,615,390,2710,5735,3020,2205,4690,2480,0
5350324.03,CT,Toronto,2.16991,3862,1762,1701,3690,1655,2030,1745,560,1190,1150,560,405,3685,1650,2030,125,240,770,530,1705,3610,1905,1305,2915,1605,0
5350324.05,CT,Toronto,0.65612,3388,1405,1382,2900,1315,1585,1375,445,925,885,270,430,2900,1315,1590,140,210,625,415,1345,2805,1455,1180,2625,1440,10
5350324.06,CT,Toronto,0.65762,3561,1219,1182,2800,1295,1500,1135,160,975,960,165,640,2800,1290,1505,125,90,235,145,1570,3195,1630,1355,2780,1420,0
5350330.00,CT,Toronto,2.19348,4288,1757,1730,3615,1720,1895,1695,435,1255,1235,470,580,3620,1715,1895,160,205,515,310,1975,4110,2130,515,1075,560,10
5350331.01,CT,Toronto,1.52013,5629,2287,2261,4745,2140,2605,2300,680,1615,1565,565,665,4740,2135,2605,300,290,835,545,2540,5470,2930,785,1810,1030,0
5350331.03,CT,Toronto,0.51039,6162,1931,1877,4500,2205,2295,1865,245,1620,1550,185,845,4495,2205,2295,455,270,480,210,2985,5880,2900,2095,4075,1980,0
5350331.04,CT,Toronto,1.06015,3212,1288,1261,2685,1205,1475,1275,435,845,820,260,370,2685,1205,1475,155,200,495,295,1350,3030,1680,595,1295,700,0
5350332.00,CT,Toronto,1.52621,7350,2914,2785,5895,2745,3145,2785,855,1930,1870,370,835,5895,2750,3145,605,515,1095,585,3325,6940,3615,1765,3595,1830,0
5350333.00,CT,Toronto,2.39935,4695,1710,1644,3915,1880,2045,1650,310,1345,1320,340,645,3920,1875,2040,285,215,430,215,2225,4600,2375,695,1485,795,10
5350334.00,CT,Toronto,2.38519,3500,1358,1274,2895,1445,1455,1265,270,995,985,330,525,2900,1445,1455,115,170,355,185,1695,3400,1705,395,830,435,10
5350335.00,CT,Toronto,2.23151,7740,3026,2984,6435,3090,3345,2985,915,2065,2020,490,1070,6440,3090,3340,405,525,1140,615,3635,7455,3820,1800,3635,1845,15
5350336.00,CT,Toronto,1.63381,6772,2553,2393,5635,2775,2855,2395,520,1875,1810,505,890,5630,2770,2855,335,465,830,365,3195,6375,3180,1355,2825,1465,30
5350337.01,CT,Toronto,0.20168,721,357,316,590,270,320,315,110,205,200,45,75,590,270,320,80,85,130,55,335,735,400,85,210,120,0
5350337.02,CT,Toronto,0.61933,2155,888,862,1565,740,820,850,270,580,545,175,180,1560,740,820,185,175,355,175,870,1820,945,190,420,230,10
5350338.00,CT,Toronto,1.65013,5956,2729,2627,4955,2475,2485,2640,1000,1635,1570,490,735,4955,2475,2485,285,660,1185,525,2880,5795,2915,600,1190,585,30
5350339.00,CT,Toronto,1.83851,6687,3110,3000,5610,2550,3060,3000,1065,1935,1885,675,845,5610,2550,3060,315,475,1205,730,3075,6610,3540,535,1150,615,70
5350340.00,CT,Toronto,1.27488,6771,2557,2457,5560,2755,2805,2460,560,1900,1805,465,955,5565,2755,2805,315,475,890,420,3260,6495,3235,1805,3725,1915,15
5350341.02,CT,Toronto,0.77866,4379,1860,1777,3550,1755,1790,1780,700,1080,985,295,470,3550,1760,1790,190,580,1030,450,1955,3890,1930,1115,2275,1165,10
5350341.03,CT,Toronto,0.40538,3436,1465,1334,2550,1195,1355,1340,480,865,830,80,505,2545,1195,1355,240,335,550,220,1655,3420,1760,1235,2590,1350,0
5350341.04,CT,Toronto,0.67099,6030,2261,2171,4655,2330,2320,2160,610,1550,1465,325,725,4650,2330,2320,370,540,940,400,2880,5725,2845,1750,3645,1895,25
5350342.00,CT,Toronto,1.23297,7561,2414,2376,6010,2810,3200,2350,340,2010,1965,320,1130,6010,2810,3200,425,275,560,285,3380,7045,3665,2135,4570,2430,25
5350343.00,CT,Toronto,1.09816,4218,1620,1517,3515,1760,1755,1540,390,1150,1090,270,540,3515,1760,1755,230,360,615,250,2045,4035,1995,1015,2085,1070,0
5350344.01,CT,Toronto,1.06274,5186,1990,1880,4585,2195,2385,1945,490,1450,1355,315,685,4585,2195,2385,290,460,850,390,2590,5225,2640,1415,2895,1480,10
5350344.02,CT,Toronto,0.22083,3365,1850,1829,2745,1245,1500,1765,955,810,795,225,235,2750,1245,1505,300,500,1015,515,1430,3055,1625,820,1735,915,0
5350345.00,CT,Toronto,0.78754,3938,1328,1258,3245,1620,1625,1240,190,1045,1000,220,525,3245,1625,1620,205,250,405,155,1830,3675,1845,1140,2295,1155,15
5350346.01,CT,Toronto,1.51998,4634,1717,1609,3750,1790,1965,1630,370,1260,1215,190,635,3755,1785,1965,340,310,535,230,2260,4550,2290,1365,2825,1455,20
5350346.02,CT,Toronto,0.40049,5388,2066,2029,4365,2055,2310,2030,470,1560,1500,315,710,4365,2055,2310,415,370,685,315,2440,5225,2790,1530,3245,1720,10
5350347.00,CT,Toronto,1.50409,2833,931,924,2200,1025,1175,920,170,745,715,145,390,2195,1025,1170,150,125,270,145,1190,2530,1340,700,1500,795,10
5350348.00,CT,Toronto,2.31904,5601,2007,1972,4455,2090,2365,1970,435,1535,1505,365,790,4455,2090,2370,300,265,605,340,2505,5230,2725,1165,2585,1415,40
5350349.00,CT,Toronto,0.87617,5720,2335,2309,4825,2230,2595,2325,730,1595,1495,290,695,4825,2230,2595,445,540,1060,515,2630,5600,2970,1515,3200,1675,25
5350350.00,CT,Toronto,3.36166,5419,2063,1986,4470,2170,2295,1970,555,1410,1380,380,665,4470,2170,2300,275,335,750,415,2560,5155,2595,1465,3020,1555,20
5350351.01,CT,Toronto,0.97486,5497,2130,2051,4685,2240,2450,2080,570,1515,1430,325,735,4690,2240,2450,330,450,910,455,2615,5390,2775,1590,3325,1735,10
5350351.02,CT,Toronto,0.56565,2756,1116,1088,2245,1060,1185,1060,265,790,750,205,285,2245,1060,1185,230,230,410,180,1230,2535,1305,660,1415,755,10
5350352.00,CT,Toronto,1.12712,5309,1945,1892,4355,2045,2310,1895,495,1395,1345,295,695,4355,2050,2305,280,355,725,365,2370,4930,2560,1500,3160,1660,15
5350353.02,CT,Toronto,1.21341,5305,1697,1649,4300,2040,2250,1690,325,1365,1345,300,705,4300,2045,2255,270,210,520,305,2450,5025,2570,1580,3240,1665,0
5350353.03,CT,Toronto,0.40919,3107,1100,1075,2590,1190,1400,1075,235,840,830,145,445,2585,1190,1395,190,135,335,190,1370,2850,1480,990,2045,1055,0
5350353.04,CT,Toronto,0.62956,4509,1650,1590,3490,1600,1890,1565,360,1205,1175,210,605,3490,1600,1885,320,230,495,255,1985,4305,2315,1215,2815,1600,10
5350354.00,CT,Toronto,1.33283,5403,1826,1695,4460,2220,2240,1650,275,1375,1325,290,735,4465,2225,2240,240,235,525,290,2555,5060,2505,1425,2835,1410,25
5350355.02,CT,Toronto,1.105,5214,1980,1919,4415,2015,2400,1920,460,1460,1425,340,670,4415,2020,2400,350,285,610,325,2400,5100,2695,1280,2750,1470,0
5350355.04,CT,Toronto,0.577,5270,1810,1776,4025,1790,2230,1805,390,1415,1355,250,640,4030,1795,2235,410,255,595,340,2240,4825,2585,1330,2840,1500,0
5350355.05,CT,Toronto,0.31432,3033,1056,993,2350,1130,1220,1015,220,795,740,130,340,2350,1135,1220,250,270,445,175,1495,2960,1465,695,1440,745,0
5350355.06,CT,Toronto,0.1923,1643,603,559,1200,565,635,530,115,415,400,20,150,1205,570,635,205,105,180,70,755,1525,765,375,755,380,0
5350356.00,CT,Toronto,1.55598,4833,1633,1555,3890,1895,1995,1575,330,1250,1230,305,660,3890,1895,1995,225,250,490,240,2185,4505,2320,1110,2325,1210,15
5350357.01,CT,Toronto,1.05106,7123,2490,2404,5360,2520,2845,2380,745,1640,1560,285,840,5360,2515,2845,380,420,975,555,3095,6300,3205,2375,4900,2525,0
5350357.02,CT,Toronto,1.10589,4940,1774,1693,3860,1725,2135,1715,320,1395,1350,225,535,3860,1725,2135,540,295,545,250,2365,5015,2655,1210,2420,1215,0
5350358.01,CT,Toronto,1.11013,3397,1180,1129,2820,1340,1480,1145,220,925,915,225,410,2820,1335,1485,235,170,370,205,1595,3320,1730,620,1315,695,10
5350358.02,CT,Toronto,0.61791,4732,2021,1955,3910,1770,2145,1910,705,1205,1165,195,510,3915,1765,2145,420,365,830,465,2170,4715,2550,850,1800,950,0
5350358.03,CT,Toronto,1.09741,5598,2304,2217,4605,2235,2370,2250,905,1345,1315,320,555,4600,2230,2370,410,605,1095,495,2665,5305,2640,1145,2385,1240,10
5350359.00,CT,Toronto,2.23634,7558,2773,2687,6025,2775,3255,2685,670,2015,1935,295,825,6025,2770,3255,725,445,1005,555,3390,7125,3735,1615,3355,1740,0
5350360.00,CT,Toronto,4.55616,6107,2040,1998,5035,2430,2605,1995,290,1705,1665,440,840,5035,2430,2605,315,255,480,225,2860,5895,3035,1125,2355,1225,10
5350361.01,CT,Toronto,2.95729,5804,1963,1928,4955,2425,2530,1930,240,1690,1670,540,890,4955,2425,2535,220,165,370,205,2815,5715,2900,880,1905,1025,0
5350361.02,CT,Toronto,2.46272,7558,2476,2451,6230,2920,3310,2455,265,2190,2170,580,1195,6235,2925,3310,340,160,395,230,3600,7440,3840,1365,2900,1535,0
5350362.01,CT,Toronto,2.52879,6300,2153,2083,5215,2455,2760,2070,395,1675,1660,375,850,5215,2455,2755,380,235,525,290,2895,6035,3135,1265,2645,1380,0
5350362.02,CT,Toronto,1.94349,5628,1731,1626,4875,2445,2425,1625,200,1430,1410,310,890,4870,2450,2425,160,190,305,115,2745,5505,2750,1440,2930,1495,15
5350362.03,CT,Toronto,3.30258,6866,2176,2074,6060,2990,3065,2075,225,1850,1800,440,1065,6055,2990,3070,225,345,555,210,3330,6685,3360,1805,3610,1805,10
5350362.04,CT,Toronto,1.35308,5019,1796,1756,4220,1970,2250,1770,455,1310,1275,290,645,4225,1970,2255,310,255,640,380,2330,4830,2505,870,1860,990,0
5350363.02,CT,Toronto,1.19757,3253,1115,1106,2770,1330,1440,1105,205,910,875,230,440,2770,1335,1435,175,120,305,185,1515,3135,1620,585,1260,670,0
5350363.04,CT,Toronto,1.12713,3668,1119,1106,3125,1495,1630,1075,120,955,945,175,575,3125,1495,1630,165,125,250,120,1805,3695,1885,1040,2105,1065,0
5350363.05,CT,Toronto,0.50329,4538,1776,1694,3575,1705,1865,1725,455,1265,1150,165,475,3570,1705,1870,475,485,810,325,2110,4310,2200,1250,2500,1245,0
5350363.06,CT,Toronto,0.82891,7307,3439,3326,6240,2930,3315,3330,1070,2255,2105,695,790,6245,2930,3315,490,705,1485,785,3190,6680,3490,2470,5340,2880,0
5350363.07,CT,Toronto,2.27654,5338,1971,1925,4290,2090,2200,1925,595,1330,1250,230,695,4290,2090,2200,285,545,990,440,2515,5015,2500,2035,4045,2010,0
5350364.01,CT,Toronto,2.90673,5996,2034,1973,4810,2340,2475,1975,415,1560,1510,385,785,4815,2340,2470,270,360,660,300,2755,5595,2845,1475,2920,1450,10
5350364.02,CT,Toronto,0.74379,3053,1004,957,2495,1205,1285,970,170,805,760,210,380,2490,1210,1280,130,190,345,150,1400,2895,1490,700,1495,790,0
5350365.00,CT,Toronto,1.5674,6497,2028,1946,5400,2690,2710,1930,260,1665,1620,300,970,5400,2690,2705,275,315,595,285,3130,6230,3100,2145,4135,1990,0
5350366.00,CT,Toronto,1.44064,6136,2143,2069,5085,2420,2670,2050,390,1655,1620,315,850,5085,2420,2670,390,245,610,360,2910,5990,3080,1655,3435,1780,10
5350367.01,CT,Toronto,0.71324,4710,1398,1375,3700,1865,1840,1365,165,1200,1150,155,715,3705,1865,1840,210,315,440,125,2260,4340,2085,1855,3560,1705,0
5350367.02,CT,Toronto,1.03068,3548,1218,1186,3075,1540,1535,1195,190,1005,960,270,490,3075,1540,1540,160,210,410,195,1740,3470,1725,995,1985,995,20
5350368.01,CT,Toronto,0.88847,6843,3786,3582,6245,2825,3420,3565,1445,2120,1795,805,580,6245,2820,3420,300,955,2220,1265,2930,6385,3455,2270,5175,2900,10
5350368.02,CT,Toronto,1.57328,4315,1464,1399,3320,1620,1695,1410,390,1025,1020,315,460,3315,1620,1695,200,275,560,280,1780,3565,1785,1145,2315,1170,0
5350369.00,CT,Toronto,2.4665,8094,2520,2441,6305,3055,3245,2440,380,2065,2010,410,1160,6300,3055,3245,365,315,540,230,3825,7520,3695,2465,4985,2520,10
5350370.01,CT,Toronto,1.76665,9977,3792,3725,7940,3575,4365,3725,1010,2710,2650,615,1320,7945,3575,4370,610,485,1280,790,4295,9190,4895,3200,6905,3705,10
5350370.02,CT,Toronto,2.27382,5580,1849,1803,4470,2095,2375,1810,320,1490,1455,285,845,4465,2095,2375,255,230,520,290,2450,5055,2610,1710,3575,1865,20
5350370.03,CT,Toronto,0.85723,4137,1409,1357,3360,1640,1725,1350,280,1070,1025,205,535,3360,1640,1720,245,280,530,245,1940,3965,2025,1075,2265,1195,10
5350371.00,CT,Toronto,3.71523,7626,2691,2570,6235,3065,3175,2570,550,2020,1960,485,990,6240,3065,3170,350,425,790,360,3530,7040,3515,2085,4205,2120,20
5350372.00,CT,Toronto,1.33184,4346,1504,1440,3835,1900,1935,1455,240,1215,1185,295,655,3835,1895,1930,175,160,375,220,2150,4265,2115,1345,2735,1395,0
5350373.00,CT,Toronto,0.96069,4806,1869,1801,3970,1920,2050,1785,465,1320,1250,310,575,3965,1920,2050,305,420,750,335,2210,4480,2270,1340,2705,1360,15
5350374.01,CT,Toronto,1.18795,4848,1717,1656,4095,1945,2150,1660,295,1365,1335,300,730,4100,1945,2155,240,200,465,265,2140,4420,2275,1565,3250,1680,15
5350374.02,CT,Toronto,0.80225,3215,1084,1053,2760,1310,1450,1045,140,905,895,305,430,2760,1310,1445,140,100,275,175,1365,2790,1425,1045,2205,1160,10
5350374.03,CT,Toronto,0.80821,4184,1718,1655,3785,1790,1995,1660,515,1145,1085,265,520,3785,1790,2000,275,315,820,510,1875,3770,1900,1315,2940,1625,0
5350375.01,CT,Toronto,0.95309,6324,2817,2733,5450,2380,3070,2765,990,1775,1720,530,675,5450,2380,3070,440,420,1225,810,2400,5310,2910,1945,4360,2415,15
5350375.02,CT,Toronto,0.61463,1959,702,694,1715,755,960,695,145,550,540,140,310,1710,760,960,80,50,195,145,920,1955,1040,570,1160,590,0
5350375.03,CT,Toronto,0.81361,5318,1917,1866,4335,2065,2265,1865,390,1475,1410,315,660,4335,2070,2265,370,290,645,350,2305,4735,2435,1745,3600,1855,0
5350375.04,CT,Toronto,0.92428,5300,1667,1633,4610,2215,2395,1660,205,1460,1430,295,775,4610,2210,2395,260,260,515,250,2290,4615,2325,1895,3950,2050,0
5350375.05,CT,Toronto,1.13069,7208,2484,2449,5890,2750,3145,2420,475,1945,1930,455,1075,5890,2745,3145,335,270,650,380,3085,6435,3345,2180,4565,2385,10
5350376.01,CT,Toronto,1.04665,5094,1697,1584,4225,1925,2295,1555,210,1345,1330,255,630,4225,1925,2300,380,190,435,245,1950,4175,2225,1715,3725,2010,10
5350376.02,CT,Toronto,0.8583,5176,1656,1614,4310,2110,2200,1605,205,1400,1350,295,725,4310,2115,2200,275,295,565,275,2170,4215,2050,2055,4180,2125,15
5350376.04,CT,Toronto,1.19406,5460,1866,1804,4310,2040,2275,1790,345,1440,1420,435,695,4315,2040,2275,245,190,550,355,2040,4175,2135,1825,4000,2180,0
5350376.05,CT,Toronto,1.30767,6860,2045,1998,5955,2870,3090,2000,325,1670,1735,530,905,5955,2865,3085,260,435,950,515,2360,4795,2435,3000,6250,3255,10
5350376.06,CT,Toronto,2.19192,484,229,219,375,140,240,245,135,110,110,85,0,375,135,240,20,25,135,110,95,225,125,140,375,240,0
5350376.08,CT,Toronto,0.87879,6157,2176,2123,5365,2465,2895,2130,405,1730,1695,440,855,5365,2470,2895,315,225,635,410,2345,5160,2810,2230,4775,2540,15
5350376.09,CT,Toronto,0.80105,4638,1644,1602,4215,1980,2235,1615,240,1375,1360,380,670,4215,1980,2235,215,215,470,255,1810,3640,1825,2025,4300,2275,10
5350376.11,CT,Toronto,0.47044,3416,1067,1014,2870,1355,1515,1045,160,885,870,145,395,2865,1350,1515,280,185,315,130,1505,2980,1475,1190,2385,1200,10
5350376.12,CT,Toronto,0.91215,5318,1922,1887,4670,2140,2530,1855,345,1515,1505,405,800,4670,2140,2530,220,185,515,330,2190,4730,2540,1855,3990,2135,10
5350376.13,CT,Toronto,0.51098,3902,1386,1362,3465,1585,1880,1385,285,1105,1105,335,550,3465,1585,1880,175,135,415,280,1475,3030,1555,1570,3350,1780,0
5350376.14,CT,Toronto,0.7362,3763,1091,1053,3175,1525,1655,1030,40,985,1015,235,580,3175,1520,1655,165,145,300,155,1485,3010,1525,1535,3205,1675,0
5350376.15,CT,Toronto,0.92289,3696,1574,1518,3395,1515,1880,1505,325,1180,1170,485,415,3395,1520,1880,185,130,420,285,1440,3105,1660,1355,3080,1720,0
5350376.16,CT,Toronto,0.27148,4226,1672,1621,3055,1335,1715,1635,620,1015,985,245,495,3055,1340,1715,180,285,740,450,1595,3530,1940,1215,2610,1395,10
5350377.01,CT,Toronto,2.06027,8996,3752,3574,7890,3900,3990,3595,975,2620,2465,750,1155,7895,3900,3995,435,905,1640,735,3940,7835,3895,3515,7100,3590,25
5350377.02,CT,Toronto,1.90596,4405,1493,1407,3855,1805,2055,1385,200,1185,1185,280,645,3855,1805,2055,210,160,365,205,1695,3530,1840,1475,3210,1730,10
5350377.03,CT,Toronto,0.65012,2815,892,868,2420,1220,1200,880,105,780,765,190,405,2420,1220,1200,120,145,295,155,1185,2315,1130,1020,2065,1045,10
5350377.04,CT,Toronto,0.88332,5939,1746,1682,5125,2445,2680,1670,130,1535,1565,340,890,5125,2445,2680,275,245,450,205,2125,4410,2290,2350,4945,2595,20
5350377.06,CT,Toronto,0.51169,3809,1001,980,3150,1530,1620,965,75,895,915,165,535,3155,1530,1620,150,230,410,180,1185,2385,1200,1660,3335,1675,0
5350377.07,CT,Toronto,0.76461,4857,1321,1282,4015,1950,2070,1270,100,1165,1205,280,685,4015,1945,2070,200,275,495,210,1710,3450,1740,1875,3915,2040,20
5350378.02,CT,Toronto,1.05954,3257,979,929,2800,1455,1345,910,100,810,750,170,465,2800,1455,1345,80,315,475,160,1535,2800,1265,1390,2630,1240,0
5350378.03,CT,Toronto,2.20691,7363,2503,2434,6275,2945,3330,2430,405,2030,1975,370,985,6275,2945,3330,490,400,715,320,3375,6985,3605,1940,4020,2080,10
5350378.04,CT,Toronto,1.27906,6148,1826,1753,4795,2275,2520,1770,275,1490,1460,255,850,4795,2270,2520,285,210,455,240,2715,5555,2835,2000,4090,2090,10
5350378.05,CT,Toronto,0.72757,3907,1235,1201,3160,1375,1785,1210,170,1040,1015,135,540,3165,1375,1785,305,125,255,130,1715,3805,2095,720,1670,950,0
5350378.06,CT,Toronto,1.7906,6063,1754,1671,4910,2370,2545,1670,165,1505,1495,175,905,4910,2365,2540,380,235,355,125,2770,5665,2895,1895,3910,2020,10
5350378.07,CT,Toronto,2.80032,7099,2311,2226,5855,2780,3075,2245,340,1905,1855,390,985,5850,2780,3075,400,270,620,355,2830,5975,3140,2440,5080,2640,0
5350378.08,CT,Toronto,0.88574,6263,1997,1953,5500,2560,2940,1965,265,1705,1695,345,950,5500,2560,2945,315,210,505,290,2525,5255,2730,2345,4910,2560,10
5350378.11,CT,Toronto,0.96337,5693,1748,1713,4750,2395,2355,1695,245,1455,1415,180,860,4750,2395,2355,305,305,490,185,2835,5545,2705,1895,3780,1880,0
5350378.12,CT,Toronto,0.78391,5181,1904,1828,4200,1920,2280,1815,440,1375,1340,255,595,4200,1920,2285,445,300,580,275,2325,4985,2660,1135,2400,1265,10
5350378.14,CT,Toronto,0.92913,3892,1184,1168,3245,1575,1665,1170,110,1060,1045,155,645,3245,1580,1665,195,140,270,130,1645,3345,1705,1475,3135,1655,10
5350378.16,CT,Toronto,0.63484,6103,2005,1923,5090,2430,2660,1915,330,1585,1560,320,900,5090,2435,2660,255,220,485,260,2815,5770,2950,1865,3820,1955,10
5350378.17,CT,Toronto,0.47397,3336,961,903,2695,1250,1440,910,85,825,810,70,515,2690,1250,1445,200,80,165,85,1590,3330,1745,725,1585,850,10
5350378.18,CT,Toronto,0.09093,2765,1114,1100,2210,970,1245,1070,285,790,770,215,285,2215,970,1245,235,130,365,235,965,1995,1025,955,2110,1160,0
5350378.19,CT,Toronto,4.51592,5162,1438,1411,4480,2150,2330,1430,95,1340,1370,255,840,4480,2150,2330,195,145,295,145,2040,4085,2040,2125,4330,2205,10
5350378.20,CT,Toronto,0.10951,2093,775,769,1850,850,995,780,135,645,630,170,305,1850,855,995,120,105,205,100,725,1495,770,835,1870,1030,0
5350378.21,CT,Toronto,0.70181,3948,1056,1043,3380,1675,1705,1050,65,990,1030,195,635,3385,1680,1705,160,200,330,130,1645,3155,1510,1615,3215,1595,0
5350378.22,CT,Toronto,0.53214,3454,891,877,2910,1395,1515,865,35,835,895,235,470,2910,1395,1515,155,135,295,160,1180,2340,1165,1465,3020,1555,10
5350378.23,CT,Toronto,1.53025,4095,1334,1302,3620,1695,1920,1305,205,1100,1105,335,530,3620,1700,1925,195,190,460,265,1585,3185,1600,1495,3215,1725,10
5350378.24,CT,Toronto,2.52877,6109,2218,2147,5085,2340,2740,2130,545,1590,1590,430,820,5085,2340,2740,230,240,680,435,2100,4420,2325,2290,4930,2645,10
5350378.25,CT,Toronto,4.76673,7931,1885,1858,6310,3060,3255,1865,55,1805,1815,180,1375,6310,3055,3255,200,145,240,95,3710,7415,3705,2925,6020,3100,10
5350378.26,CT,Toronto,1.66052,4761,1165,1144,3885,1910,1975,1135,45,1095,1080,90,850,3890,1915,1975,90,50,100,50,2280,4545,2270,1750,3630,1885,10
5350378.27,CT,Toronto,20.2249,5806,1556,1530,4620,2185,2435,1530,135,1400,1390,130,1000,4620,2185,2440,210,160,310,155,2705,5575,2870,1845,3880,2035,0
5350378.28,CT,Toronto,2.25257,7175,2041,1925,6020,2910,3110,1925,170,1755,1760,230,1070,6020,2915,3105,380,150,360,210,3380,6940,3560,1830,3645,1815,0
5350802.01,CT,Toronto,2.216,3829,1290,1267,3095,1505,1590,1255,140,1115,1110,305,640,3095,1505,1590,155,65,180,115,1845,3705,1860,645,1430,790,0
5350802.02,CT,Toronto,2.44031,5675,1844,1826,4750,2320,2430,1840,225,1610,1590,450,930,4755,2325,2430,170,155,330,170,2725,5560,2830,805,1825,1020,0
