,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,3.7,99584,2.3,49856,1695,130,7.7,140,8.3
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,3.6,78848,2.5,33024,2335,415,17.8,370,15.8
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,3.9,73216,2.6,30592,4880,550,11.3,510,10.5
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,3.8,88320,2.4,42640,3330,360,10.8,355,10.7
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,3.9,64512,2.5,33760,3470,365,10.5,345,9.9
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,4.2,40704,2.9,19392,4570,1375,30.1,1150,25.2
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,4,54144,2.6,31552,3115,510,16.4,470,15.1
90,80,5350073.0,CT,Toronto,0.35718,2605,1077,1007,4,43776,2.8,22912,2580,475,18.4,455,17.6
91,205,5350074.0,CT,Toronto,0.3998,3848,1710,1598,4,41131,2.6,26688,3830,895,23.4,765,20
92,125,5350075.0,CT,Toronto,0.49858,4083,1839,1760,3.9,62208,2.6,23730,4075,650,16,610,15
93,115,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,3.8,49621,2.6,27424,4380,745,17,635,14.5
94,160,5350077.0,CT,Toronto,0.6104,4670,1968,1907,3.8,67968,2.7,29184,4640,655,14.1,580,12.5
95,135,5350078.0,CT,Toronto,0.77495,6016,2980,2854,3.7,54208,2.4,24043,5945,1120,18.8,980,16.5
96,135,5350079.0,CT,Toronto,1.01839,7327,2986,2887,3.8,76800,2.5,30848,7170,745,10.4,680,9.5
97,45,5350080.01,CT,Toronto,0.47192,3352,1496,1428,3.8,55680,2.6,29088,3325,475,14.3,430,12.9
98,50,5350080.02,CT,Toronto,0.39054,4686,2073,2011,4,39381,2.6,21424,4570,1615,35.3,1400,30.6
99,75,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,3.8,69248,2.5,24160,2800,315,11.3,295,10.5
100,95,5350082.0,CT,Toronto,0.3084,2766,1060,1027,3.9,65472,2.8,26464,2750,280,10.2,290,10.5
