,GeoUID,Type,RegionName,Area(sqKm),Population,Dwellings,Households,PopulationCT,PopulationDensity,LandArea(skm),BicycleF,BicycleM,BicycleT
173,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,5810,5565.7,1.04,0,15,20
174,5350150.0,CT,Toronto,1.10899,4201,1640,1586,4201,3939.4,1.07,10,50,65
175,5350151.0,CT,Toronto,0.65559,3784,1577,1535,3784,5979.8,0.63,10,55,60
176,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,4545,5317.7,0.85,30,105,135
177,5350153.0,CT,Toronto,0.92761,4462,1783,1685,4462,4811.3,0.93,15,35,55
178,5350154.0,CT,Toronto,2.15888,6157,2899,2818,6157,2936.0,2.1,0,10,10
179,5350155.0,CT,Toronto,0.81296,3128,1316,1206,3128,3848.4,0.81,0,0,0
180,5350156.01,CT,Toronto,0.60545,5688,2365,2273,5688,9395.4,0.61,10,15,20
181,5350156.02,CT,Toronto,0.59201,2811,1124,1073,2811,4747.5,0.59,0,0,0
182,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,2635,5689.9,0.46,10,10,15
183,5350158.0,CT,Toronto,0.63989,2848,1346,1250,2848,4451.4,0.64,10,10,15
184,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,3487,7081.6,0.49,10,0,10
185,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,4723,8209.6,0.58,10,20,25
186,5350160.0,CT,Toronto,0.73445,3116,1246,1143,3116,4241.2,0.73,0,15,15
187,5350161.0,CT,Toronto,0.81126,6839,2689,2537,6839,8432.8,0.81,15,40,55
188,5350162.0,CT,Toronto,0.57575,5119,2059,1952,5119,8890.2,0.58,10,45,50
189,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,4358,9590.7,0.45,55,70,125
190,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,6258,9966.6,0.63,75,125,195
191,5350165.0,CT,Toronto,0.48493,4370,2031,1943,4370,9012.2,0.48,55,85,135
192,5350166.0,CT,Toronto,0.78603,4180,1691,1625,4180,5317.4,0.79,10,20,35
193,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,1879,14001.5,0.13,15,20,30
194,5350167.02,CT,Toronto,0.60145,5815,3143,2998,5815,9667.5,0.6,50,55,110
195,5350168.0,CT,Toronto,0.56552,5475,2665,2458,5475,9678.3,0.57,30,30,60
196,5350169.01,CT,Toronto,0.3781,3472,1457,1334,3472,9182.8,0.38,10,0,10
197,5350169.02,CT,Toronto,0.43778,7464,3318,3202,7464,17041.1,0.44,15,30,40
198,5350170.0,CT,Toronto,1.01423,3321,1305,1201,3321,3274.8,1.01,0,10,10
199,5350171.0,CT,Toronto,0.6081,4055,1613,1522,4055,6668.3,0.61,0,10,10
200,5350172.0,CT,Toronto,1.21015,2522,1183,1128,2522,2083.8,1.21,0,0,10
201,5350173.0,CT,Toronto,0.60145,3694,1528,1438,3694,6141.3,0.6,0,0,0
202,5350174.0,CT,Toronto,1.06328,7264,2751,2723,7264,6928.0,1.05,10,0,10
203,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,6036,7676.5,0.79,0,0,0
204,5350175.02,CT,Toronto,0.74248,7679,3813,3585,7679,10824.6,0.71,0,0,10
205,5350176.0,CT,Toronto,1.00471,4277,1697,1609,4277,4257.4,1.0,0,20,20
206,5350180.0,CT,Toronto,0.6138,6556,2875,2765,6556,10679.3,0.61,20,20,35
207,5350181.01,CT,Toronto,0.57055,4313,1940,1858,4313,7560.0,0.57,45,60,105
208,5350181.02,CT,Toronto,0.60182,3552,1664,1591,3552,5901.3,0.6,10,55,70
209,5350182.0,CT,Toronto,0.7605,5531,2297,2186,5531,7272.8,0.76,30,80,110
210,5350183.01,CT,Toronto,0.52409,2603,1048,1007,2603,4966.6,0.52,20,50,65
211,5350183.02,CT,Toronto,0.42813,3938,1584,1522,3938,9196.6,0.43,40,85,130
212,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,5108,10767.3,0.47,30,70,95
213,5350184.02,CT,Toronto,0.56201,3768,1694,1642,3768,6757.5,0.56,15,30,50
214,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,6810,13647.3,0.5,75,135,205
215,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,4689,3921.6,1.2,15,75,90
216,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,2416,1297.7,1.86,15,10,30
217,5350187.0,CT,Toronto,1.21045,3448,1424,1351,3448,2878.1,1.2,15,40,55
218,5350188.0,CT,Toronto,0.55199,2017,842,797,2017,3655.3,0.55,25,20,40
219,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,5462,4406.3,1.24,0,20,25
220,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,9127,22681.4,0.4,0,15,20
221,5350190.02,CT,Toronto,0.5813,4765,2102,2026,4765,8197.1,0.58,10,15,20
222,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,4229,5137.3,0.82,15,25,40
223,5350192.0,CT,Toronto,0.92037,905,462,440,905,986.8,0.92,0,0,0
224,5350193.0,CT,Toronto,1.41592,3314,1070,1043,3314,2396.2,1.38,0,10,10
225,5350194.01,CT,Toronto,0.2315,5498,1482,1463,5498,24922.9,0.22,0,25,25
226,5350194.02,CT,Toronto,0.34635,6240,1934,1923,6240,18013.9,0.35,10,10,10
227,5350194.03,CT,Toronto,0.25016,2933,1238,1229,2933,11722.6,0.25,0,10,0
228,5350194.04,CT,Toronto,2.29209,6437,2571,2508,6437,2813.5,2.29,10,15,20
229,5350195.01,CT,Toronto,0.9462,4483,1656,1604,4483,4737.4,0.95,25,35,60
230,5350195.02,CT,Toronto,0.37813,2317,920,894,2317,6124.8,0.38,25,25,45
231,5350196.01,CT,Toronto,0.3774,1977,811,775,1977,5237.1,0.38,10,15,25
232,5350196.02,CT,Toronto,1.10548,5635,2376,2250,5635,5097.7,1.11,30,50,75
233,5350200.01,CT,Toronto,0.6408,5614,3143,3055,5614,10524.9,0.53,0,65,70
234,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,981,6903.6,0.14,10,10,15
235,5350201.0,CT,Toronto,0.75952,5371,2989,2776,5371,7138.5,0.75,10,40,50
236,5350202.0,CT,Toronto,0.33589,1647,653,631,1647,4903.2,0.34,15,10,25
237,5350203.0,CT,Toronto,0.58927,3160,1507,1431,3160,5364.1,0.59,0,20,25
238,5350204.0,CT,Toronto,0.74088,4537,2310,2210,4537,6122.8,0.74,30,80,105
239,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,149,204.8,0.73,0,0,0
240,5350206.01,CT,Toronto,1.13878,4217,2151,2041,4217,3783.8,1.11,20,25,45
241,5350206.02,CT,Toronto,1.08513,5867,2994,2774,5867,5406.9,1.09,10,50,65
242,5350207.0,CT,Toronto,0.67366,2605,1285,1181,2605,3867.3,0.67,0,15,25
243,5350208.0,CT,Toronto,1.29403,4172,2062,1981,4172,3223.9,1.29,10,20,25
244,5350209.0,CT,Toronto,0.69308,2718,1338,1252,2718,3922.1,0.69,10,10,20
245,5350210.01,CT,Toronto,2.96012,3083,1008,971,3083,1041.6,2.96,0,15,20
246,5350210.02,CT,Toronto,0.94935,11390,9168,7016,11390,12511.0,0.91,30,50,85
247,5350211.0,CT,Toronto,3.27116,6350,2512,2447,6350,1941.2,3.27,15,30,40
248,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,5704,3397.9,1.68,0,20,25
249,5350213.01,CT,Toronto,0.94226,2666,1021,990,2666,2829.5,0.94,10,10,15
250,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,6045,864.7,6.99,0,10,0
251,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,5069,1794.9,2.82,0,15,15
252,5350215.0,CT,Toronto,2.60049,6748,2991,2789,6748,2600.0,2.6,20,30,55
253,5350216.0,CT,Toronto,1.9993,5532,2238,2163,5532,2793.5,1.98,25,30,50
254,5350217.0,CT,Toronto,1.33055,5692,2917,2756,5692,4704.5,1.21,25,25,50
255,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,2652,3882.3,0.68,0,25,30
256,5350219.0,CT,Toronto,1.36063,4427,1690,1644,4427,3254.0,1.36,15,35,50
257,5350220.0,CT,Toronto,1.32212,4177,1597,1584,4177,3219.5,1.3,10,10,20
258,5350221.01,CT,Toronto,1.64542,6377,2751,2725,6377,3925.8,1.62,10,10,20
259,5350221.02,CT,Toronto,0.80501,5202,2167,2064,5202,6461.3,0.81,10,45,50
260,5350222.01,CT,Toronto,1.28483,6699,2626,2557,6699,5213.2,1.29,0,10,0
261,5350222.02,CT,Toronto,1.2002,5141,1830,1782,5141,4283.1,1.2,10,10,15
262,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,1522,1744.6,0.87,0,10,10
263,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,2136,2449.0,0.87,0,0,0
264,5350224.0,CT,Toronto,1.04417,1696,578,573,1696,1624.1,1.04,0,0,0
265,5350225.01,CT,Toronto,0.93466,4981,2387,2316,4981,5330.1,0.93,10,0,10
266,5350225.02,CT,Toronto,0.3048,9706,5006,4859,9706,31843.8,0.3,10,15,25
267,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,3167,3321.8,0.95,0,10,0
268,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,1750,3558.4,0.49,0,0,0
269,5350228.0,CT,Toronto,0.883,3131,1418,1362,3131,3829.5,0.82,15,20,30
270,5350229.0,CT,Toronto,0.32031,1223,393,384,1223,3819.5,0.32,0,0,0
271,5350230.01,CT,Toronto,1.50655,2537,1109,1082,2537,1752.3,1.45,0,0,10
272,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,6537,6631.2,0.99,0,10,10
273,5350231.0,CT,Toronto,3.02848,6461,2722,2566,6461,2133.5,3.03,10,15,20
274,5350232.0,CT,Toronto,2.04605,3825,1348,1306,3825,1869.5,2.05,0,0,0
275,5350233.0,CT,Toronto,2.0806,5530,2032,1982,5530,2658.3,2.08,0,0,0
276,5350234.0,CT,Toronto,2.11718,4524,1645,1600,4524,2136.7,2.12,0,0,0
277,5350235.01,CT,Toronto,1.40707,2841,1009,997,2841,2019.3,1.41,0,0,10
278,5350235.02,CT,Toronto,1.07805,5277,2039,2010,5277,4894.7,1.08,10,10,15
279,5350236.01,CT,Toronto,0.98685,6646,2560,2519,6646,6734.9,0.99,0,15,15
