,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle,v_CA16_5807: Bicycle.1,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
31,5050020.01,CT,Ottawa,5.95529,5008,2868,2384,1670,5085,5085,1495,5085,2540,4465,4465,2505,140,140,74.7,2385,870.4,4990,1145,865,870,1850,1255,2385,4405,4410,4410,2990,2385,170,65,100,195,175,150,135,105,22758,4990,1400,1370,27.5
32,5050020.02,CT,Ottawa,1.82335,2888,1139,1050,295,2775,2775,890,2775,1420,2340,2340,1360,50,50,65.0,1050,1915.4,2880,845,725,725,430,235,1050,2445,2445,2440,1660,1050,5,10,10,70,70,60,60,55,29376,2880,275,260,9.0
33,5050021.0,CT,Ottawa,2.1398099999999998,6076,2915,2711,1380,5680,5680,1140,5680,3340,4845,4845,2965,170,170,71.9,2710,2839.5,5775,1470,1110,1110,1625,1265,2715,4900,4900,4905,3465,2715,65,45,100,260,250,185,160,145,35712,5770,1275,1085,18.8
34,5050022.0,CT,Ottawa,1.7619200000000002,5562,2932,2626,1465,5385,5385,1495,5390,3015,4335,4330,2245,70,70,70.2,2630,3195.8,5445,1280,825,820,1710,1360,2625,4430,4435,4435,2760,2625,65,155,270,200,150,120,95,95,21552,5445,2205,1870,34.3
35,5050023.01,CT,Ottawa,1.28555,5772,2853,2638,1465,5785,5780,1225,5785,2955,5075,5075,2875,120,120,67.4,2635,4488.7,5765,1520,1215,1215,1655,1155,2640,5070,5065,5070,3410,2635,45,25,70,235,215,175,190,145,33344,5765,830,800,13.9
36,5050023.02,CT,Ottawa,0.91115,3888,1688,1615,720,3815,3810,1430,3810,2475,3240,3240,2340,70,70,72.2,1615,4267.8,3755,1035,900,900,765,610,1615,3140,3145,3140,2425,1615,40,15,45,105,95,90,135,120,60117,3755,430,350,9.3
37,5050024.0,CT,Ottawa,1.37142,3196,1343,1292,620,2985,2985,495,2980,1640,2555,2550,1595,50,50,65.9,1290,2330.6,3000,830,710,710,690,480,1290,2560,2560,2555,1840,1295,30,30,40,85,75,85,65,70,27712,3000,405,375,12.5
38,5050025.0,CT,Ottawa,2.48162,5514,2020,1942,670,4835,4835,905,4835,2515,4045,4040,2350,80,80,56.6,1940,2222.1,4835,1400,1185,1185,755,570,1945,4045,4045,4045,2715,1945,20,15,30,110,120,105,115,90,42795,4835,370,325,6.7
39,5050026.0,CT,Ottawa,2.2200900000000003,5367,2281,2176,1045,5150,5150,1145,5150,2795,4435,4435,2705,70,70,68.9,2175,2417.7,5125,1390,1100,1095,1300,815,2175,4425,4425,4425,3160,2175,35,20,45,205,170,160,140,140,31776,5125,825,855,16.7
40,5050027.0,CT,Ottawa,0.7479600000000001,3856,1808,1723,940,3610,3605,805,3605,2160,3070,3070,1940,25,25,70.6,1720,5155.8,3670,1015,685,685,955,725,1725,3100,3100,3100,2225,1720,35,20,70,190,140,125,110,100,37419,3675,880,770,21.0
41,5050028.0,CT,Ottawa,1.96953,6649,2792,2636,1005,6620,6620,2115,6620,3500,5450,5450,2960,85,85,66.7,2635,3375.8,6620,1860,1355,1360,1210,835,2635,5450,5450,5450,3545,2635,25,35,60,235,190,175,175,155,41015,6620,1335,1115,16.8
42,5050029.0,CT,Ottawa,1.8505900000000002,4932,2408,2253,1160,4885,4885,1600,4885,2480,4055,4055,1960,25,25,66.9,2255,4898.7,4915,1205,805,800,1395,1075,2250,4030,4035,4030,2455,2255,65,40,100,230,185,150,100,75,32624,4915,1685,1435,29.2
43,5050030.0,CT,Ottawa,3.18613,6360,3767,3528,2160,6375,6375,1705,6375,3500,5675,5670,2820,60,60,65.0,3530,3548.7,6345,1540,1200,1200,2360,2010,3530,5690,5695,5695,3380,3530,70,115,205,345,310,220,190,145,33595,6345,1535,1300,20.5
44,5050031.0,CT,Ottawa,2.1286400000000003,5349,3272,3129,1825,5485,5480,1420,5485,2750,4960,4960,2455,20,20,56.4,3125,4836.3,5345,1340,1110,1110,2030,1795,3130,4865,4860,4865,2855,3130,45,50,115,285,270,240,180,155,40192,5345,840,725,13.6
45,5050032.01,CT,Ottawa,0.77878,3558,1857,1823,1100,3370,3370,785,3370,1715,2990,2995,1500,55,55,58.5,1825,4569.2,3385,835,700,695,1130,995,1825,2980,2980,2975,1755,1820,35,25,55,155,130,125,105,75,38246,3385,530,440,13.0
46,5050032.02,CT,Ottawa,2.98962,6015,2547,2479,1000,5620,5625,980,5625,2635,4670,4665,2630,140,140,56.6,2475,3302.9,5750,1590,1425,1425,1025,910,2480,4780,4780,4780,3095,2480,40,25,50,125,130,125,85,85,39040,5750,510,440,7.7
47,5050033.01,CT,Ottawa,1.05759,5106,2198,2107,925,4865,4860,575,4865,2935,3985,3980,2850,195,195,70.6,2110,4826.5,4950,1370,1165,1165,955,755,2110,4030,4025,4030,3110,2105,35,10,40,120,125,130,95,105,46208,4950,435,400,8.1
48,5050033.02,CT,Ottawa,1.01789,3198,1780,1618,790,3190,3190,540,3190,1825,2710,2710,1675,100,100,64.5,1620,3141.8,3185,865,745,745,860,765,1620,2715,2715,2715,1915,1615,20,15,55,95,80,100,75,75,35243,3185,470,385,12.1
49,5050034.0,CT,Ottawa,1.28109,3631,1371,1316,300,3375,3375,485,3375,1770,2750,2745,1815,190,190,62.6,1320,2834.7,3430,1040,950,950,360,280,1315,2800,2800,2795,2100,1315,10,10,10,45,55,40,60,60,62944,3425,140,140,4.1
50,5050035.0,CT,Ottawa,0.78588,3956,2659,2297,1575,3995,3995,980,3995,2620,3645,3645,2575,230,230,80.3,2295,5034.4,3940,935,780,780,1665,1370,2300,3595,3595,3595,2815,2295,65,50,115,180,145,135,105,105,33865,3940,815,770,19.5
51,5050036.0,CT,Ottawa,0.81585,3330,1465,1353,610,3080,3080,430,3080,1745,2575,2575,1780,160,160,64.1,1355,4222.7,3160,875,800,800,635,485,1350,2640,2640,2640,2000,1355,20,15,20,55,65,45,65,60,48981,3165,180,210,6.6
52,5050037.0,CT,Ottawa,0.57498,8283,6325,5621,4740,8005,8010,1550,8005,5680,7695,7695,5565,330,330,85.7,5620,14447.9,7945,1390,1215,1215,4785,4235,5620,7625,7625,7625,6175,5620,175,145,350,620,535,355,325,235,40072,7945,1700,1635,20.6
53,5050038.0,CT,Ottawa,0.43316000000000004,5883,4381,3943,3140,5545,5545,1410,5550,3900,5260,5260,3565,180,180,82.2,3940,13583.5,5710,1095,920,920,3225,2860,3945,5395,5395,5395,4080,3940,125,180,360,295,250,240,210,165,33088,5710,1670,1540,27.0
54,5050039.0,CT,Ottawa,0.40255,2604,1573,1389,1145,2575,2570,530,2570,1680,2335,2335,1680,210,210,82.9,1385,6466.4,2580,585,515,510,1150,810,1390,2375,2380,2375,1900,1390,30,30,75,95,100,90,80,65,25451,2580,535,605,23.4
55,5050040.0,CT,Ottawa,0.38167,3955,2556,2195,1650,3960,3955,775,3960,2850,3650,3655,2720,245,245,85.7,2195,10364.3,3785,840,740,740,1760,1360,2195,3475,3475,3480,2915,2195,50,60,100,205,150,150,140,95,34483,3785,715,750,19.8
