,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,2725,5110,5105,5105,1275,3835,2720,34534,31091,76331,68498
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,1320,2480,2480,2480,520,1960,1320,38208,33664,95360,83712
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,2015,4295,4295,4295,1050,3245,2020,32320,29568,97536,85211
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,1105,2105,2100,2100,450,1650,1110,40277,36992,95642,84480
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,1885,3615,3620,3620,920,2705,1890,30592,28723,96085,83661
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,1450,2945,2945,2945,710,2230,1445,39808,34688,86869,76160
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,1470,2515,2515,2515,625,1890,1470,36736,32939,88320,77504
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,475,710,710,710,295,415,475,17920,17920,57216,52352
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,3300,5085,5085,5085,1830,3255,3305,42944,38298,52821,49869
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,5375,8595,8595,8595,3385,5210,5375,29888,27755,58208,53013
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,3405,4920,4925,4920,980,3935,3405,46407,40519,81152,71424
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,2265,3160,3165,3160,800,2360,2265,30784,28640,75520,66880
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,2940,4215,4215,4215,1015,3200,2945,43187,38528,70349,63275
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,3515,4960,4965,4965,1225,3740,3520,39278,35100,78208,68320
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,2685,3970,3975,3975,815,3155,2685,42752,37888,90560,77275
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,1390,2220,2215,2220,490,1730,1395,32384,29504,61760,56107
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,5480,9885,9885,9885,3525,6360,5480,18019,17942,46450,44134
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,4425,6610,6610,6610,1665,4945,4425,37065,33291,78131,68608
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,815,1485,1490,1485,335,1155,815,61952,52736,179200,142336
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,1205,2100,2100,2100,545,1560,1205,35168,31808,126208,102195
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,1895,4025,4025,4025,890,3130,1895,42432,37568,135066,112960
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,1715,2905,2905,2905,590,2310,1710,44928,39520,119424,99904
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,1405,2810,2810,2805,665,2145,1400,37504,33600,138411,111531
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,1865,3675,3675,3675,1275,2405,1865,18944,18720,76142,68864
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,1260,2605,2605,2605,700,1900,1260,36544,32811,112299,96666
90,80,5350073.0,CT,Toronto,0.35718,2605,1077,1007,1005,2215,2215,2215,625,1595,1010,32896,29184,87808,76864
91,205,5350074.0,CT,Toronto,0.3998,3848,1710,1598,1600,3175,3175,3175,940,2235,1600,31680,29856,86443,75936
92,125,5350075.0,CT,Toronto,0.49858,4083,1839,1760,1760,3415,3420,3415,1010,2405,1760,24224,23568,104533,89664
93,115,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,1935,3605,3600,3600,1005,2600,1935,28096,26288,103936,88891
94,160,5350077.0,CT,Toronto,0.6104,4670,1968,1907,1905,3660,3660,3655,845,2815,1905,31808,28736,124757,103629
95,135,5350078.0,CT,Toronto,0.77495,6016,2980,2854,2855,5000,5005,5005,1380,3625,2855,24576,23520,109568,92501
96,135,5350079.0,CT,Toronto,1.01839,7327,2986,2887,2885,5670,5670,5670,1300,4370,2885,33195,30720,133339,109312
97,45,5350080.01,CT,Toronto,0.47192,3352,1496,1428,1425,2790,2790,2790,720,2070,1425,32128,29344,103936,89600
98,50,5350080.02,CT,Toronto,0.39054,4686,2073,2011,2010,3830,3830,3830,1325,2510,2010,23782,23040,54608,50304
99,75,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,1080,2305,2305,2305,610,1695,1080,28736,27328,107008,90112
100,95,5350082.0,CT,Toronto,0.3084,2766,1060,1027,1025,2195,2195,2195,545,1655,1030,36736,32672,120832,103488
101,125,5350083.0,CT,Toronto,0.44642,4052,1908,1822,1825,3450,3450,3450,1120,2330,1820,20171,19981,102784,88832
102,120,5350084.0,CT,Toronto,0.40903,3810,1613,1498,1500,2990,2990,2995,715,2275,1495,32128,28800,135851,111309
103,135,5350085.0,CT,Toronto,0.49901,3994,2154,2078,2080,3500,3495,3495,780,2715,2075,37504,33408,105728,89728
104,25,5350086.0,CT,Toronto,1.1385,2661,965,921,920,2130,2130,2135,640,1495,920,80640,65152,326861,235179
105,135,5350087.0,CT,Toronto,1.60971,5155,2652,2491,2495,4525,4525,4525,1530,3000,2490,69837,57088,218880,165171
106,40,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,1820,2915,2915,2915,925,1995,1820,57131,48192,108954,90965
107,35,5350089.0,CT,Toronto,0.32969,3896,2995,2345,2345,3515,3515,3515,1115,2395,2345,60186,49984,157184,129280
108,55,5350090.0,CT,Toronto,0.39427,4144,2584,2347,2345,3630,3630,3630,1060,2570,2345,55616,47258,143616,116992
109,245,5350091.01,CT,Toronto,0.51145,6031,3639,3224,3225,5030,5035,5035,1420,3610,3225,45845,41056,111061,93952
110,230,5350091.02,CT,Toronto,0.32714,3525,2288,2009,2010,3090,3090,3095,805,2290,2010,25264,24048,96768,83149
111,560,5350092.0,CT,Toronto,0.62885,7278,4113,3718,3720,6455,6455,6455,1230,5225,3720,40864,36224,102656,88832
112,550,5350093.0,CT,Toronto,0.61785,5652,2490,2291,2290,4575,4575,4575,995,3580,2295,39376,35200,107392,91648
113,370,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,2050,4335,4340,4335,1155,3185,2050,33152,29504,84053,74423
114,270,5350095.0,CT,Toronto,0.31549,3095,1392,1319,1315,2755,2755,2755,695,2055,1320,32299,29376,84416,74439
115,135,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,655,1450,1450,1445,455,995,660,29056,26624,92800,81664
116,240,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,1400,2950,2945,2950,760,2190,1395,33280,30656,79872,71168
117,215,5350097.01,CT,Toronto,0.3825,4322,1758,1621,1620,3600,3605,3605,1055,2550,1620,24736,23744,75691,68324
118,45,5350097.03,CT,Toronto,0.17179,1207,783,679,680,1085,1085,1085,505,580,680,15952,15856,48896,47488
119,230,5350097.04,CT,Toronto,0.32489,5462,2528,2392,2395,4795,4790,4790,1055,3735,2390,42155,37047,78043,69446
