,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
53,230,5350046.0,CT,Toronto,0.42036,3281,1404,1330,230,440,210,1200,2390,1185,195,455,260,38.5,39.8,41.1,14.1,13.2,12.7,73.9,72.6,71.8,12,13.9,15.8,0.9
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,265,490,225,1425,2685,1265,305,610,305,40.8,40.8,40.9,13.3,13.1,12.5,71.2,70.8,70.3,15.3,16.2,16.9,1
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,45,85,40,295,570,275,25,50,30,38.7,38.9,39,12.5,11.3,11.8,81.9,80.9,80.9,6.9,7.1,7.4,0
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,255,480,225,1025,2070,1050,120,290,170,37.9,38.6,39.2,18.6,16.9,15.6,73.2,72.9,72.7,8.6,10.2,12.1,0.4
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,305,575,270,1305,2655,1355,140,325,180,37.6,38,38.5,17.4,16.2,15,74.1,74.7,75.1,8,9.1,10.2,1.1
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,265,500,240,1165,2410,1245,255,755,500,40.8,43.9,46.5,16,13.8,11.9,68.8,65.6,62.9,14.8,20.5,25.3,4.7
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,590,1165,575,2820,6085,3265,610,1495,880,40.9,42.2,43.2,14.8,13.4,12.2,70,69.5,69.2,15.3,17.1,18.8,2
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,60,120,55,375,830,455,75,155,85,41.5,41.6,41.7,12.6,10.9,10.1,72.8,75.1,76.5,14.6,14,14.3,1.9
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,480,935,460,1570,3400,1830,270,675,405,37.6,39.3,40.8,20.5,18.7,17.1,68,67.9,67.7,11.4,13.4,15,1.1
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,445,810,370,1875,3855,1985,310,730,420,38.5,39.7,40.8,16.8,15,13.3,71.4,71.4,71.5,11.8,13.5,15.1,1.3
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,350,670,325,1420,3010,1585,165,400,235,37.5,38.3,39,18.1,16.4,15.2,73.6,73.7,73.9,8.5,9.8,11,0.8
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,335,655,320,2295,4560,2265,350,770,415,39.3,39.6,39.9,11.1,11,10.7,77.3,76.3,75.5,11.6,12.9,14,1.2
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,325,630,305,2185,4430,2240,335,745,410,39.3,39.7,40.1,11.4,10.9,10.3,76.8,76.3,75.8,11.8,12.8,13.9,1.1
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,145,280,135,1065,2150,1090,140,330,190,38.5,38.8,39,10.4,10.1,9.9,79.2,77.9,76.8,10.4,11.9,13.7,1.1
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,245,475,230,1730,3635,1900,290,665,375,39.5,39.8,40,10.8,9.9,9.2,76.4,76.1,75.8,12.8,13.9,14.8,2
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,95,190,95,865,1800,935,145,320,180,39.3,39.5,39.6,8.6,8.2,7.9,78.3,77.9,77.3,12.7,14.1,14.9,1.4
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,170,330,160,1495,3010,1515,290,640,350,40.7,41,41.4,8.7,8.4,7.7,76.5,75.6,75,14.8,16.1,17.3,2.3
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,140,310,170,1420,2690,1275,315,835,520,41.1,43.3,45.4,7.7,8.1,8.4,75.7,70.2,64.8,16.8,21.7,26.5,4
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,90,170,80,1155,2205,1055,145,305,160,37,37.5,38,6.5,6.3,6.2,82.7,82.1,81.5,10.4,11.5,12.4,0.7
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,40,85,40,415,830,415,65,175,105,35.9,38.4,40.8,8.7,7.8,7.1,79.8,76.5,74.1,12.5,16.1,18.8,1
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,245,500,255,2000,4320,2315,305,775,470,36.7,37.4,38,9.4,8.9,8.4,78.6,77.2,76.2,12,13.9,15.5,1.8
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,190,400,210,3675,7685,4010,460,1005,545,36.1,35.7,35.4,4.3,4.4,4.4,85,84.6,84.3,10.8,11,11.5,1.5
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,70,170,100,2425,4505,2080,240,430,190,39.5,38.1,36.5,2.6,3.2,4,88.7,88.2,87.9,9,8.5,8,0.5
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,55,110,50,1785,2920,1140,195,335,145,42.6,41.2,39.2,2.7,3.3,4.1,87.7,86.6,85.4,9.6,10.1,10.5,0.5
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,55,115,60,2030,3950,1920,140,270,130,36.1,35.3,34.4,2.5,2.7,2.6,91.2,91.2,91.2,6.3,6.2,6.2,0.4
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,100,180,85,2655,4345,1685,400,645,250,43.4,41.9,39.4,3,3.5,4.2,84.4,84,83.4,12.5,12.5,12.4,0.6
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,75,155,80,2255,3700,1450,205,455,250,40.3,40.5,40.8,3,3.6,4.2,89,85.8,81.7,8.1,10.6,14.1,1
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,105,200,100,1215,2100,885,90,180,90,37.3,37.4,37.4,7.4,8.1,9.3,86.2,84.7,82.3,6.7,7.3,7.9,0.4
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,1015,1930,920,4465,8785,4320,460,1105,645,35.9,37,38.1,17,16.4,15.6,75.2,74.3,73.4,7.7,9.3,11,0.5
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,180,350,175,3505,5825,2320,725,1430,705,46.1,45.9,45.6,4.1,4.6,5.3,79.5,76.6,72.5,16.4,18.8,22.2,2
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,95,210,115,655,1155,500,160,330,175,45.1,44.9,44.6,10.5,12.4,13.9,72.4,68.1,63.3,17.1,19.5,22.2,0.6
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,120,240,115,900,1635,735,230,490,265,45.6,45.9,46.3,9.6,10.1,10.3,72,69.2,65.9,18.4,20.7,23.8,0.8
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,435,855,420,1730,3475,1750,275,590,315,39,39.5,40,17.8,17.5,16.9,70.9,70.7,70.6,11.3,11.9,12.5,0.6
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,240,435,195,1190,2480,1295,255,595,340,41.4,42.7,43.9,14.2,12.4,10.4,70.6,70.8,70.7,15.1,17,18.6,1.2
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,340,660,320,1135,2340,1205,220,480,260,38.9,40,41,20.1,19.1,17.9,66.9,67.2,67.3,13,13.8,14.2,1.2
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,470,900,425,1470,3145,1675,235,545,315,36.1,37.5,38.9,21.7,19.5,17.6,67.7,68.5,69.4,10.6,11.9,12.8,0.9
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,265,510,245,1155,2285,1130,160,345,185,38.6,39.2,39.8,16.8,16.2,15.3,73.3,72.8,72.5,10.2,11.1,11.8,1.3
90,80,5350073.0,CT,Toronto,0.35718,2605,1077,1007,170,365,200,990,1950,955,150,290,140,39.6,39,38.4,12.9,14.2,15.1,75.7,74.9,74,11.4,11.1,10.9,1.1
91,205,5350074.0,CT,Toronto,0.3998,3848,1710,1598,325,655,325,1400,2820,1420,175,375,200,37.1,37.7,38.3,17.1,17,16.7,73.7,73.2,72.8,8.9,9.7,10.5,0.8
92,125,5350075.0,CT,Toronto,0.49858,4083,1839,1760,330,660,330,1305,2745,1435,270,675,410,39.9,41.3,42.6,17.3,16.2,15.4,68.6,67.1,66,14.1,16.5,18.9,1.6
93,115,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,390,780,385,1430,3030,1600,230,610,370,38.5,40,41.2,19,17.7,16.3,69.8,68.6,67.7,11.5,13.7,15.9,1.5
94,160,5350077.0,CT,Toronto,0.6104,4670,1968,1907,485,985,500,1595,3245,1655,205,440,235,36.7,37.2,37.6,21.3,21.1,21,69.7,69.5,69.2,9,9.4,10.1,0.9
95,135,5350078.0,CT,Toronto,0.77495,6016,2980,2854,465,950,480,2115,4300,2185,370,770,400,41,41.2,41.4,15.8,15.7,15.6,72,71.5,71.2,12.4,12.8,13,0.7
96,135,5350079.0,CT,Toronto,1.01839,7327,2986,2887,705,1500,795,2275,4850,2575,445,980,535,38.5,38.9,39.2,20.6,20.5,20.4,66.3,66.2,66,13,13.4,13.7,1.2
97,45,5350080.01,CT,Toronto,0.47192,3352,1496,1428,280,540,260,1140,2380,1240,175,435,265,37.9,39.9,41.8,17.6,15.9,14.5,72,70.9,70.5,10.7,13,14.8,0.9
98,50,5350080.02,CT,Toronto,0.39054,4686,2073,2011,380,755,375,1740,3465,1730,185,465,275,36.7,37.8,38.9,16.5,16.1,15.9,75.7,74.1,72.3,8,9.9,11.7,0.4
99,75,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,260,525,265,950,1950,1005,175,375,200,38.7,39.4,40,18.8,18.4,17.8,68.6,68.2,68.5,12.6,13.2,13.7,1.8
100,95,5350082.0,CT,Toronto,0.3084,2766,1060,1027,285,555,275,910,1850,940,165,360,190,38,38.5,39,21,20.1,19.1,66.9,66.9,67,12.1,13,13.8,1.1
101,125,5350083.0,CT,Toronto,0.44642,4052,1908,1822,320,590,270,1305,2680,1375,420,780,360,42.5,42.4,42.3,15.9,14.7,13.5,63.8,66.2,68.6,20.5,19.3,18,2
102,120,5350084.0,CT,Toronto,0.40903,3810,1613,1498,355,675,325,1235,2515,1275,260,620,360,39.6,41,42.3,19.2,17.7,16.5,66.9,65.9,65.1,14.1,16.3,18.3,2.2
103,135,5350085.0,CT,Toronto,0.49901,3994,2154,2078,260,475,220,1465,2920,1450,290,600,305,41.1,41.5,41.9,12.7,11.9,11.1,72.7,73.1,73.2,14.6,15,15.7,1.2
104,25,5350086.0,CT,Toronto,1.1385,2661,965,921,270,520,250,795,1705,915,210,430,215,40.2,40.1,40.1,21.5,19.7,18.1,62.1,64.3,66.3,16.4,16,15.9,1.6
