,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
112,550,5350093.0,CT,Toronto,0.61785,5652,2490,2291,235,1115,235,725,1530,810,1295,25,970
113,370,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,280,1015,280,625,1350,730,1205,40,800
114,270,5350095.0,CT,Toronto,0.31549,3095,1392,1319,130,660,125,460,970,505,720,35,560
115,135,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,75,350,70,240,450,210,385,20,250
116,240,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,165,690,165,505,1000,490,775,35,590
117,215,5350097.01,CT,Toronto,0.3825,4322,1758,1621,210,800,205,650,1225,570,860,75,685
118,45,5350097.03,CT,Toronto,0.17179,1207,783,679,70,155,70,385,580,195,195,15,470
119,230,5350097.04,CT,Toronto,0.32489,5462,2528,2392,230,1160,230,815,1620,800,1230,75,1085
120,305,5350098.0,CT,Toronto,0.71535,7099,3123,3002,395,1495,395,865,1785,920,1720,80,1200
121,230,5350099.0,CT,Toronto,0.5813,6585,3380,3241,275,1375,275,1020,2055,1030,1595,25,1615
122,135,5350100.0,CT,Toronto,0.28925,2956,1492,1432,130,615,130,390,860,470,715,15,695
123,155,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,135,700,130,435,880,450,800,10,650
124,65,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,210,835,210,715,1705,990,1035,5,1495
125,80,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,175,800,180,560,1255,695,965,5,1125
126,15,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,20,165,20,55,145,90,180,5,100
127,30,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,25,210,25,75,175,100,225,5,115
128,145,5350103.0,CT,Toronto,0.83794,6050,2627,2527,180,1445,180,460,1155,695,1595,15,915
129,130,5350104.0,CT,Toronto,0.73732,5525,2141,2054,175,1375,175,300,730,430,1500,20,530
130,200,5350105.0,CT,Toronto,0.55453,4509,1917,1790,170,1015,170,410,915,505,1130,25,630
131,35,5350106.0,CT,Toronto,1.37076,3773,1427,1343,265,760,265,395,730,335,865,80,400
132,70,5350107.0,CT,Toronto,0.71899,5085,1880,1751,340,1075,340,430,825,395,1235,85,430
133,135,5350108.0,CT,Toronto,0.73607,6013,2679,2475,425,1125,425,840,1475,635,1345,100,1030
