,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle
141,5350116.0,CT,Toronto,0.67913,4628,2044,1921,1065,4150,4150,1105,4155,2650,3550,3545,2560,180
142,5350117.0,CT,Toronto,0.39107,2211,1165,1106,665,2195,2190,480,2195,1320,1930,1925,1280,70
143,5350118.0,CT,Toronto,0.69384,4127,2183,1990,950,4130,4130,1055,4130,2110,3655,3655,2230,100
144,5350119.0,CT,Toronto,0.8519,4630,2485,2310,1305,4565,4560,1345,4565,2495,4060,4055,2540,45
145,5350120.0,CT,Toronto,0.25722,1381,697,654,300,1325,1320,275,1325,705,1120,1120,755,30
146,5350121.0,CT,Toronto,0.29736,2659,1629,1448,830,2475,2475,600,2475,1450,2290,2290,1425,10
147,5350122.0,CT,Toronto,0.53381,6220,3655,3443,2065,6235,6235,1785,6235,3530,5575,5570,3535,90
148,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,1050,2260,2265,920,2265,1715,2115,2110,1540,25
149,5350124.0,CT,Toronto,0.55675,5416,3470,3278,2135,5245,5250,1580,5245,3010,4845,4850,2930,75
150,5350125.0,CT,Toronto,1.12047,4442,1618,1543,330,4520,4520,730,4520,2230,3580,3580,2305,50
151,5350126.0,CT,Toronto,1.44927,4248,1746,1693,575,4350,4345,985,4345,2380,3355,3355,2220,60
152,5350127.0,CT,Toronto,0.74046,5450,2325,2236,840,5350,5350,1330,5350,3070,4345,4345,2975,65
153,5350128.02,CT,Toronto,0.51869,8705,5052,4766,2890,8355,8355,3050,8355,5675,7550,7550,5300,70
154,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,2015,4585,4585,1690,4585,3050,4195,4200,2860,30
155,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,145,670,670,170,670,435,580,575,430,20
156,5350128.06,CT,Toronto,0.08584,4199,2601,2523,1740,4215,4215,1855,4215,3055,3860,3860,2745,45
157,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,1235,5725,5725,1370,5725,3385,4775,4775,3310,75
158,5350130.0,CT,Toronto,1.27901,3543,1365,1279,390,3375,3375,730,3375,1790,2860,2860,1810,35
159,5350131.0,CT,Toronto,1.04439,5310,2505,2360,1140,5365,5360,1360,5360,2965,4640,4635,2880,85
160,5350132.0,CT,Toronto,0.92464,5467,2155,2038,805,5330,5335,1805,5330,2890,4350,4350,2970,45
161,5350133.0,CT,Toronto,0.66745,7339,3629,3408,1785,7340,7340,3170,7335,4215,6260,6265,3990,50
162,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,245,2870,2865,525,2865,1630,2280,2280,1580,45
163,5350135.0,CT,Toronto,0.71622,6047,3316,3054,1635,6080,6080,1810,6080,3795,5225,5225,3505,70
164,5350136.01,CT,Toronto,0.19196,6128,4023,3779,2530,6135,6135,2385,6135,4470,5685,5680,4010,50
165,5350136.02,CT,Toronto,0.21013,4983,3459,3198,2295,4965,4965,2150,4965,3450,4685,4685,3105,35
166,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,1935,7060,7060,2205,7055,4195,6080,6080,3855,90
167,5350138.0,CT,Toronto,0.96546,3103,1250,1181,390,3050,3050,605,3050,1510,2575,2575,1430,15
168,5350139.01,CT,Toronto,0.7736,4167,1904,1824,740,4220,4220,1190,4225,2375,3460,3465,2275,30
169,5350139.02,CT,Toronto,0.50952,2542,961,920,280,2670,2670,495,2670,1365,2120,2120,1325,20
170,5350140.0,CT,Toronto,0.57204,2408,826,791,160,2305,2305,360,2305,1170,1835,1830,1140,25
171,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,445,4305,4305,1065,4305,2345,3370,3375,2295,30
172,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,325,4575,4570,950,4575,2285,3495,3495,2260,35
173,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,770,5685,5680,1325,5680,3050,4410,4405,2890,20
174,5350150.0,CT,Toronto,1.10899,4201,1640,1586,565,4235,4235,925,4235,2415,3415,3415,2300,65
175,5350151.0,CT,Toronto,0.65559,3784,1577,1535,470,3750,3745,1475,3750,1940,2870,2870,1585,60
176,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,540,4435,4435,1165,4430,2590,3550,3550,2455,135
177,5350153.0,CT,Toronto,0.92761,4462,1783,1685,605,4375,4380,2040,4380,2630,3760,3760,2230,55
178,5350154.0,CT,Toronto,2.15888,6157,2899,2818,1380,6235,6235,2815,6235,3460,5465,5465,2985,10
179,5350155.0,CT,Toronto,0.81296,3128,1316,1206,505,3030,3030,1400,3030,1725,2415,2410,1215,0
180,5350156.01,CT,Toronto,0.60545,5688,2365,2273,970,5765,5760,3320,5760,2905,4715,4715,2345,20
181,5350156.02,CT,Toronto,0.59201,2811,1124,1073,420,2830,2830,1455,2830,1620,2380,2380,1405,0
182,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,330,2655,2655,1410,2660,1585,2195,2190,1340,15
183,5350158.0,CT,Toronto,0.63989,2848,1346,1250,695,2960,2955,1660,2955,1545,2560,2560,1225,15
184,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,385,3395,3390,1915,3390,1970,2885,2885,1625,10
185,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,520,4690,4695,2615,4690,2720,3980,3980,2315,25
186,5350160.0,CT,Toronto,0.73445,3116,1246,1143,475,2975,2975,1560,2975,1760,2495,2495,1545,15
187,5350161.0,CT,Toronto,0.81126,6839,2689,2537,910,6935,6935,3725,6935,4165,5925,5925,3605,55
188,5350162.0,CT,Toronto,0.57575,5119,2059,1952,840,4845,4850,2570,4845,2680,4110,4115,2510,50
189,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,880,4435,4435,1910,4435,2675,3800,3800,2380,125
190,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,995,6085,6085,2600,6085,3690,5150,5150,3250,195
191,5350165.0,CT,Toronto,0.48493,4370,2031,1943,1030,4290,4290,1310,4295,2570,3605,3600,2500,135
192,5350166.0,CT,Toronto,0.78603,4180,1691,1625,640,4185,4185,1085,4185,2315,3375,3380,2215,35
193,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,885,1855,1860,670,1860,1055,1790,1790,1075,30
194,5350167.02,CT,Toronto,0.60145,5815,3143,2998,1825,5745,5745,2270,5750,3760,5090,5090,3550,110
195,5350168.0,CT,Toronto,0.56552,5475,2665,2458,1305,5595,5595,2880,5600,3005,4775,4775,2780,60
196,5350169.01,CT,Toronto,0.3781,3472,1457,1334,645,3510,3510,2110,3515,2110,3015,3015,1875,10
197,5350169.02,CT,Toronto,0.43778,7464,3318,3202,1495,7310,7310,4450,7310,4585,6410,6410,4070,40
198,5350170.0,CT,Toronto,1.01423,3321,1305,1201,425,3385,3385,2000,3385,1910,2930,2935,1680,10
199,5350171.0,CT,Toronto,0.6081,4055,1613,1522,575,3800,3795,2095,3800,2035,3130,3125,1565,10
200,5350172.0,CT,Toronto,1.21015,2522,1183,1128,545,2575,2570,1335,2570,1530,2125,2130,1200,10
201,5350173.0,CT,Toronto,0.60145,3694,1528,1438,630,3785,3785,1965,3785,2070,3025,3025,1585,0
202,5350174.0,CT,Toronto,1.06328,7264,2751,2723,1110,6815,6815,4055,6815,3940,5645,5645,3230,10
203,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,1110,6025,6020,3175,6025,3440,4940,4940,2620,0
204,5350175.02,CT,Toronto,0.74248,7679,3813,3585,1975,7635,7635,4160,7635,4370,6235,6235,3290,10
205,5350176.0,CT,Toronto,1.00471,4277,1697,1609,585,4030,4030,1340,4030,2375,3430,3430,2195,20
206,5350180.0,CT,Toronto,0.6138,6556,2875,2765,1285,6365,6365,2650,6365,4005,5280,5280,3210,35
207,5350181.01,CT,Toronto,0.57055,4313,1940,1858,815,4305,4300,1145,4305,2830,3680,3680,2485,105
208,5350181.02,CT,Toronto,0.60182,3552,1664,1591,740,3545,3545,1055,3550,2105,3010,3005,1900,70
209,5350182.0,CT,Toronto,0.7605,5531,2297,2186,710,5345,5345,1615,5345,3225,4400,4405,2860,110
