,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2: Age Stats,v_CA16_3: Age Stats,v_CA16_418: Private households by household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_478: Total - Census families in private households by family size - 100% data.1,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2399: Total - Income statistics in 2015 for one-person private households - 100% data,v_CA16_2402: Total - Income statistics in 2015 for two-or-more-person private households - 100% data,v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data,v_CA16_2446: Total - Income statistics in 2015 for economic families in private households - 100% data,v_CA16_2450: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,v_CA16_2454: Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,v_CA16_2462: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,v_CA16_5807: Bicycle
340,5350276.01,CT,Toronto,1.22609,6446,2764,2642,2865,3580,2645,1615,1615,5150,5150,5150,2640,975,1665,2640,1620,500,835,1190,10
341,5350276.02,CT,Toronto,1.28263,6870,2514,2398,3260,3610,2400,1885,1885,5415,5415,5415,2400,480,1915,2400,1880,535,1080,705,30
342,5350277.0,CT,Toronto,1.02778,4084,1323,1220,1995,2085,1220,975,975,3105,3105,3100,1220,220,1000,1220,975,250,605,365,20
343,5350278.0,CT,Toronto,1.3337,7734,2944,2679,3610,4125,2680,1845,1845,5930,5930,5930,2680,790,1890,2675,1830,480,1015,1140,20
344,5350279.01,CT,Toronto,1.21444,4028,1665,1523,1895,2135,1525,1160,1160,3455,3455,3450,1520,350,1170,1525,1135,345,535,540,20
345,5350279.02,CT,Toronto,1.57835,6503,2195,2117,2975,3530,2115,1630,1630,4955,4955,4955,2115,495,1620,2115,1555,350,780,740,0
346,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,3425,3905,2920,2030,2030,6030,6035,6030,2920,835,2085,2920,2005,470,875,1095,15
347,5350281.01,CT,Toronto,0.96206,6484,2324,2256,2955,3530,2255,1820,1820,5260,5255,5255,2260,475,1780,2255,1740,280,810,695,10
348,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,1845,2095,1310,1055,1055,3060,3060,3060,1305,230,1070,1305,1035,145,400,410,0
349,5350282.0,CT,Toronto,2.22534,4480,1663,1607,2180,2295,1605,1270,1270,3835,3835,3830,1610,350,1255,1610,1220,325,660,500,0
350,5350283.01,CT,Toronto,0.9285,5399,1965,1938,2455,2940,1935,1465,1465,4200,4195,4195,1935,470,1470,1940,1430,250,565,635,0
351,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,1995,2550,1715,1275,1275,3625,3625,3630,1710,420,1290,1710,1275,260,435,500,0
352,5350284.0,CT,Toronto,1.41266,6840,2427,2349,3275,3570,2350,1880,1880,5540,5540,5540,2350,475,1875,2350,1815,435,915,765,10
353,5350285.0,CT,Toronto,1.1118,3271,1269,1207,1575,1695,1205,920,920,2830,2825,2825,1205,290,920,1210,885,235,430,430,0
354,5350286.0,CT,Toronto,3.24625,4273,1987,1704,1995,2280,1705,1150,1150,3655,3655,3655,1705,510,1195,1705,1135,330,390,720,10
355,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,2855,3875,2250,1595,1595,4935,4935,4935,2250,610,1635,2250,1555,340,730,1000,40
356,5350287.03,CT,Toronto,0.48415,3432,1444,1305,1460,1975,1305,810,810,2610,2610,2605,1305,485,820,1305,795,120,225,570,10
357,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,1935,2540,2015,1005,1005,3610,3615,3615,2020,940,1080,2015,1020,280,475,1125,15
358,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,4670,5300,4000,2615,2615,8220,8220,8220,4000,1260,2745,4000,2610,745,1250,1795,65
359,5350289.0,CT,Toronto,1.3028,4713,1779,1725,2280,2430,1725,1330,1330,4020,4020,4015,1725,375,1350,1725,1295,360,610,590,0
360,5350290.01,CT,Toronto,0.94404,3620,1515,1475,1735,1885,1475,995,995,3025,3030,3025,1475,460,1015,1475,965,220,395,645,0
361,5350290.02,CT,Toronto,0.34585,1534,782,717,730,805,715,405,405,1315,1310,1315,715,295,420,720,405,125,160,365,0
362,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,2285,2660,1925,1335,1335,4160,4160,4160,1930,610,1315,1930,1295,340,600,805,0
363,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,1105,1200,905,655,655,1980,1985,1985,905,230,675,905,640,180,260,345,0
364,5350291.04,CT,Toronto,0.51571,1585,680,654,770,810,655,445,445,1355,1350,1350,655,210,445,655,430,100,190,270,0
365,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,3285,3435,2250,1795,1795,5435,5435,5435,2245,480,1765,2245,1690,280,820,860,10
366,5350293.0,CT,Toronto,2.0619,6242,2197,2103,2985,3260,2105,1780,1780,5140,5140,5140,2105,395,1710,2105,1675,355,880,580,10
367,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,2070,2310,1545,1255,1255,3565,3560,3560,1545,285,1265,1550,1220,285,515,460,0
368,5350294.02,CT,Toronto,1.02545,4504,1453,1384,2185,2320,1385,1270,1270,3835,3835,3835,1385,200,1185,1385,1165,235,565,415,0
369,5350295.0,CT,Toronto,1.0824,5180,2035,1907,2535,2645,1905,1450,1450,4365,4370,4370,1910,465,1445,1910,1395,320,675,695,0
370,5350296.0,CT,Toronto,4.6433,64,19,19,25,35,20,20,20,55,x,x,x,x,x,x,x,x,x,x,0
371,5350297.01,CT,Toronto,1.13952,7313,3119,3027,3290,4025,3030,1950,1950,6185,6185,6185,3030,1010,2015,3025,1915,605,845,1415,15
372,5350297.02,CT,Toronto,1.50956,6502,2716,2552,3140,3360,2555,1740,1740,5440,5435,5435,2550,780,1770,2550,1710,565,855,1085,15
373,5350298.0,CT,Toronto,2.27223,4661,1605,1566,2200,2460,1565,1240,1240,3715,3715,3715,1570,275,1295,1570,1245,305,725,505,10
374,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,3005,3250,2210,1720,1720,5105,5105,5110,2205,430,1775,2210,1705,450,935,745,20
375,5350299.02,CT,Toronto,0.1593,5247,3019,2815,2465,2780,2815,1415,1415,4825,4825,4825,2815,1170,1645,2815,1485,730,425,1555,0
376,5350300.0,CT,Toronto,1.03364,13667,7532,6956,6535,7130,6955,3705,3705,12170,12170,12170,6955,2830,4125,6955,3790,1685,1375,3655,10
377,5350301.01,CT,Toronto,0.90166,2915,1087,1071,1370,1540,1070,845,845,2390,2390,2390,1070,215,855,1070,825,235,430,330,0
378,5350301.03,CT,Toronto,0.2736,6949,2944,2789,3500,3450,2790,1810,1810,5765,5760,5760,2790,750,2040,2790,1820,555,900,1385,10
379,5350301.04,CT,Toronto,1.42622,5859,2615,2502,2810,3055,2500,1500,1500,5055,5055,5055,2505,825,1675,2505,1515,495,635,1325,10
380,5350302.01,CT,Toronto,1.2292100000000001,6253,2406,2358,2915,3340,2360,1840,1840,5515,5515,5515,2355,560,1800,2360,1770,530,875,810,20
381,5350302.02,CT,Toronto,1.08389,6140,2092,2037,2995,3150,2035,1770,1770,5260,5260,5260,2035,285,1745,2040,1695,435,885,715,15
382,5350302.03,CT,Toronto,0.69385,3425,1205,1124,1685,1740,1125,955,955,2985,2985,2990,1125,180,945,1120,905,225,485,490,0
383,5350303.0,CT,Toronto,1.0632700000000002,5355,1893,1819,2625,2730,1820,1470,1470,4455,4455,4460,1820,280,1540,1820,1445,280,780,660,0
384,5350304.01,CT,Toronto,0.24931,4541,1633,1610,2190,2350,1610,1255,1255,3665,3660,3660,1610,295,1310,1610,1250,235,665,510,0
385,5350304.02,CT,Toronto,1.21224,4777,1885,1832,2185,2595,1830,1420,1420,3995,3995,3995,1835,420,1410,1830,1390,510,635,540,0
386,5350304.03,CT,Toronto,0.9954700000000001,2898,994,968,1320,1575,970,860,860,2455,2450,2450,970,115,850,965,835,190,405,195,0
387,5350304.04,CT,Toronto,0.23444,3724,1415,1404,1800,1925,1405,1040,1040,3065,3065,3060,1405,300,1105,1405,1040,240,560,495,10
388,5350304.05,CT,Toronto,0.703,2847,1112,1096,1315,1535,1095,810,810,2540,2540,2545,1095,285,810,1100,785,290,345,490,10
389,5350304.06,CT,Toronto,0.74893,5807,2258,2207,2775,3030,2205,1640,1640,5040,5045,5045,2210,535,1670,2205,1605,435,845,880,0
390,5350305.01,CT,Toronto,2.44425,4451,1626,1564,2170,2280,1565,1355,1355,3930,3930,3925,1565,235,1330,1565,1315,455,675,375,10
391,5350305.03,CT,Toronto,0.71145,4914,2338,2178,2295,2620,2175,1435,1435,4295,4295,4295,2175,695,1485,2180,1430,530,590,850,10
392,5350305.04,CT,Toronto,1.00966,9133,5153,4822,4240,4890,4820,2420,2420,8050,8050,8050,4820,2155,2665,4820,2490,1200,810,2585,10
393,5350306.01,CT,Toronto,1.17222,4574,1586,1478,2165,2405,1475,1290,1290,3900,3900,3900,1475,220,1260,1480,1230,250,685,415,0
394,5350306.02,CT,Toronto,1.1185200000000002,4793,1831,1714,2285,2510,1715,1335,1335,4125,4125,4120,1715,385,1330,1715,1290,330,745,570,10
395,5350307.03,CT,Toronto,0.11010999999999999,5039,2359,2238,2280,2760,2240,1415,1415,4425,4430,4425,2235,690,1550,2240,1440,380,670,960,0
396,5350307.04,CT,Toronto,0.15295,7035,3530,3360,3265,3770,3360,1900,1900,6335,6335,6330,3360,1205,2155,3360,1970,730,780,1660,10
397,5350307.05,CT,Toronto,0.10463,3581,2038,1926,1610,1970,1925,925,925,3300,3300,3300,1925,830,1100,1925,960,440,295,1155,10
398,5350307.06,CT,Toronto,0.10419,5424,2374,2266,2555,2870,2270,1495,1495,4600,4600,4600,2265,655,1610,2265,1510,455,750,910,0
399,5350307.07,CT,Toronto,1.22458,6321,2651,2366,2990,3335,2365,1705,1705,5485,5485,5485,2365,575,1790,2365,1690,455,905,1025,10
400,5350308.02,CT,Toronto,1.42465,4310,1688,1588,2135,2170,1585,1210,1210,3680,3680,3680,1590,380,1210,1590,1180,355,635,555,40
401,5350308.03,CT,Toronto,0.39669,1147,425,385,590,555,385,325,325,965,965,965,385,60,325,385,315,95,180,135,0
402,5350308.04,CT,Toronto,1.08521,11479,5941,5576,5260,6220,5575,2925,2925,10290,10290,10285,5575,2220,3355,5575,2995,1265,1100,3165,15
403,5350309.0,CT,Toronto,0.74182,6383,2354,2308,2870,3510,2310,1695,1695,5290,5290,5285,2305,520,1785,2310,1690,375,760,975,10
404,5350310.01,CT,Toronto,1.42763,3512,1271,1204,1750,1765,1205,975,975,2855,2850,2850,1205,220,985,1205,960,275,495,360,0
405,5350310.02,CT,Toronto,2.23548,5048,2028,1858,2470,2580,1860,1390,1390,4230,4230,4230,1860,430,1430,1855,1370,330,715,690,0
406,5350311.02,CT,Toronto,0.89054,5823,2308,2141,2795,3030,2140,1565,1565,4955,4955,4960,2140,600,1540,2140,1495,300,695,880,25
407,5350311.03,CT,Toronto,0.79713,2651,923,863,1285,1370,865,755,755,2270,2270,2270,865,145,720,865,700,155,345,260,10
408,5350311.04,CT,Toronto,0.95755,6552,2436,2247,3065,3485,2245,1845,1845,5520,5520,5520,2250,455,1795,2245,1755,385,825,700,25
409,5350311.05,CT,Toronto,0.34549,6823,2681,2593,3495,3330,2590,1670,1670,5720,5715,5720,2595,670,1920,2590,1670,385,685,1560,35
410,5350311.06,CT,Toronto,10.24442,5744,2703,2326,3010,2735,2325,1170,1170,5065,5060,5065,2325,790,1530,2325,1225,375,425,2115,20
411,5350312.02,CT,Toronto,0.524,3448,1185,1077,1655,1795,1080,920,920,2765,2765,2765,1075,180,895,1075,855,125,385,405,10
412,5350312.03,CT,Toronto,1.48726,6420,2219,2164,2975,3450,2165,1800,1800,5190,5190,5195,2160,435,1730,2165,1680,290,705,695,10
413,5350312.04,CT,Toronto,0.72554,5763,1820,1718,2695,3065,1720,1480,1480,4290,4290,4290,1720,250,1465,1720,1395,160,550,575,15
414,5350312.05,CT,Toronto,0.34586999999999996,3836,1348,1295,1735,2100,1295,1020,1020,2845,2845,2845,1295,240,1055,1295,1000,100,300,475,10
415,5350312.06,CT,Toronto,0.45843999999999996,3444,1086,1058,1555,1890,1060,935,935,2795,2795,2795,1060,190,875,1060,855,140,380,335,10
416,5350312.07,CT,Toronto,0.6247,3076,1312,1221,1445,1630,1220,835,835,2710,2710,2710,1225,455,765,1220,760,195,325,545,0
417,5350313.0,CT,Toronto,2.89834,5554,1945,1808,2675,2880,1810,1545,1545,4580,4585,4580,1805,310,1495,1810,1450,305,680,570,10
418,5350314.01,CT,Toronto,0.4281,5036,1741,1676,2420,2615,1675,1375,1375,3885,3885,3885,1675,280,1395,1675,1335,195,620,520,0
419,5350314.02,CT,Toronto,1.12467,4955,1704,1568,2380,2575,1570,1355,1355,4120,4115,4120,1570,265,1300,1570,1265,270,650,475,10
420,5350315.01,CT,Toronto,1.51758,3368,1223,1122,1665,1700,1125,990,990,2910,2910,2910,1120,190,935,1125,925,275,455,290,10
421,5350315.02,CT,Toronto,0.42796000000000006,3543,1170,1076,1710,1840,1075,970,970,2870,2870,2870,1075,170,905,1075,890,165,510,265,0
422,5350315.03,CT,Toronto,6.01015,5505,1895,1699,2660,2845,1700,1505,1505,4475,4480,4475,1700,275,1420,1695,1395,270,730,490,0
423,5350316.01,CT,Toronto,1.7746,3910,1301,1224,1845,2060,1225,1065,1065,3210,3205,3205,1225,230,995,1225,975,230,490,380,25
424,5350316.03,CT,Toronto,0.40066,5888,2039,1948,2815,3080,1950,1535,1535,4580,4580,4580,1950,375,1575,1950,1510,185,650,625,20
425,5350316.04,CT,Toronto,0.46506000000000003,4275,1760,1679,1940,2335,1680,1035,1035,3325,3325,3325,1675,610,1070,1680,1030,135,335,770,10
426,5350316.05,CT,Toronto,0.40614,3992,1373,1309,1910,2080,1310,1040,1040,3085,3085,3085,1310,240,1075,1305,1015,150,405,485,15
427,5350316.06,CT,Toronto,0.40499,3672,1198,1164,1625,2045,1165,975,975,2765,2765,2765,1160,215,955,1165,925,110,340,355,15
428,5350317.02,CT,Toronto,0.43231,7347,3408,3336,3230,4115,3335,2000,2000,6525,6525,6525,3335,1255,2085,3335,1990,725,755,1745,25
429,5350317.03,CT,Toronto,1.19309,3688,1264,1245,1825,1860,1245,1110,1110,3230,3235,3230,1245,160,1085,1245,1060,320,540,330,10
430,5350317.04,CT,Toronto,0.72206,6627,2594,2534,3070,3555,2535,1880,1880,5600,5605,5600,2535,615,1920,2535,1850,500,835,920,15
431,5350317.05,CT,Toronto,0.54133,2229,834,811,1060,1170,810,615,615,1995,1995,1995,810,200,610,810,590,190,280,395,0
432,5350318.0,CT,Toronto,1.9063700000000001,8574,3568,3330,4040,4530,3330,2300,2300,7630,7630,7630,3330,815,2515,3330,2280,680,1045,1680,15
433,5350319.0,CT,Toronto,1.20157,4191,1616,1527,2090,2100,1525,1185,1185,3685,3685,3685,1525,310,1220,1530,1165,335,570,585,10
434,5350320.01,CT,Toronto,0.73678,5197,2103,2036,2350,2845,2035,1395,1395,4355,4360,4360,2035,615,1420,2035,1360,420,585,970,20
435,5350320.02,CT,Toronto,0.8527600000000001,5869,2129,2067,2750,3115,2070,1640,1640,5150,5150,5150,2065,405,1660,2065,1580,440,760,890,10
436,5350321.01,CT,Toronto,1.25768,3830,1340,1258,1870,1955,1260,1120,1120,3365,3365,3365,1260,165,1095,1255,1065,305,585,380,0
437,5350321.02,CT,Toronto,1.2172,4030,1497,1429,2000,2035,1430,1130,1130,3555,3555,3555,1430,280,1145,1425,1100,320,585,555,10
438,5350322.01,CT,Toronto,0.20805,4737,2371,2242,2145,2590,2240,1245,1245,4320,4320,4315,2245,755,1485,2240,1320,425,480,1170,15
439,5350322.02,CT,Toronto,1.40695,3500,1262,1185,1585,1920,1185,770,770,2710,2710,2710,1185,385,800,1185,750,250,380,645,10
440,5350323.01,CT,Toronto,1.04061,4289,1746,1706,1980,2310,1705,1250,1250,3735,3735,3735,1705,455,1250,1705,1225,390,580,580,0
441,5350323.02,CT,Toronto,1.8599900000000003,5367,1935,1849,2405,2960,1850,1510,1510,4400,4400,4400,1850,390,1460,1850,1450,535,680,525,10
442,5350324.01,CT,Toronto,1.1954,3498,1214,1143,1645,1850,1140,1035,1035,3015,3015,3015,1145,130,1015,1140,990,230,480,285,0
443,5350324.02,CT,Toronto,1.89369,6123,2256,2133,2900,3220,2130,1820,1820,5340,5335,5335,2135,315,1820,2130,1760,410,850,680,0
444,5350324.03,CT,Toronto,2.16991,3862,1762,1701,1775,2085,1705,1140,1140,3535,3540,3540,1700,550,1155,1700,1110,540,410,765,0
445,5350324.05,CT,Toronto,0.65612,3388,1405,1382,1550,1835,1385,950,950,2980,2985,2985,1385,455,930,1385,910,250,480,590,10
446,5350324.06,CT,Toronto,0.65762,3561,1219,1182,1700,1860,1180,1050,1050,2945,2945,2945,1180,160,1020,1180,1005,185,640,250,0
447,5350330.0,CT,Toronto,2.19348,4288,1757,1730,2070,2215,1730,1265,1265,3675,3675,3675,1730,460,1270,1730,1235,460,560,585,10
448,5350331.01,CT,Toronto,1.52013,5629,2287,2261,2555,3075,2260,1585,1585,4685,4685,4685,2265,660,1600,2260,1565,545,665,780,0
449,5350331.03,CT,Toronto,0.51039,6162,1931,1877,3015,3145,1880,1590,1590,4530,4525,4525,1880,255,1620,1875,1565,205,845,500,0
450,5350331.04,CT,Toronto,1.06015,3212,1288,1261,1470,1740,1260,850,850,2655,2655,2655,1260,420,840,1260,820,255,385,485,0
451,5350332.0,CT,Toronto,1.52621,7350,2914,2785,3480,3875,2785,1925,1925,5895,5895,5895,2785,855,1935,2785,1850,360,825,1120,0
452,5350333.0,CT,Toronto,2.39935,4695,1710,1644,2285,2410,1645,1355,1355,3940,3935,3940,1645,305,1340,1645,1300,350,655,465,10
453,5350334.0,CT,Toronto,2.38519,3500,1358,1274,1725,1775,1275,1000,1000,2880,2880,2880,1270,270,1000,1275,980,295,525,350,10
454,5350335.0,CT,Toronto,2.2315099999999997,7740,3026,2984,3730,4015,2985,2065,2065,6435,6435,6435,2985,920,2065,2985,2005,485,1045,1140,15
455,5350336.0,CT,Toronto,1.63381,6772,2553,2393,3325,3445,2395,1890,1890,5625,5630,5625,2395,510,1880,2390,1830,515,920,785,30
456,5350337.01,CT,Toronto,0.20168,721,357,316,350,365,315,185,185,595,595,595,315,115,200,315,190,35,75,155,0
457,5350337.02,CT,Toronto,0.61933,2155,888,862,990,1165,865,540,540,1570,1570,1570,865,290,570,865,545,175,175,370,10
458,5350338.0,CT,Toronto,1.6501299999999999,5956,2729,2627,2950,3010,2625,1575,1575,4945,4950,4945,2625,975,1650,2630,1575,505,730,1195,30
459,5350339.0,CT,Toronto,1.8385099999999999,6687,3110,3000,3110,3580,3000,1885,1885,5610,5610,5610,3000,1070,1930,3000,1865,680,835,1245,70
460,5350340.0,CT,Toronto,1.27488,6771,2557,2457,3375,3395,2455,1845,1845,5495,5500,5500,2455,545,1915,2455,1820,450,980,870,15
461,5350341.02,CT,Toronto,0.77866,4379,1860,1777,2060,2320,1775,1040,1040,3560,3560,3560,1775,675,1100,1780,1010,320,480,970,10
462,5350341.03,CT,Toronto,0.40538,3436,1465,1334,1695,1740,1335,840,840,2480,2480,2480,1335,470,860,1335,835,75,470,545,0
463,5350341.04,CT,Toronto,0.67099,6030,2261,2171,2980,3050,2175,1500,1500,4710,4710,4710,2170,640,1535,2170,1450,310,745,935,25
464,5350342.0,CT,Toronto,1.2329700000000001,7561,2414,2376,3585,3980,2375,2075,2075,6010,6010,6010,2375,360,2015,2375,1960,335,1115,640,25
465,5350343.0,CT,Toronto,1.09816,4218,1620,1517,2135,2085,1515,1150,1150,3515,3515,3515,1520,370,1150,1520,1105,255,540,575,0
466,5350344.01,CT,Toronto,1.06274,5186,1990,1880,2595,2590,1880,1405,1405,4435,4435,4435,1880,495,1385,1880,1320,325,630,795,10
467,5350344.02,CT,Toronto,0.22083000000000003,3365,1850,1829,1515,1855,1830,845,845,2890,2895,2895,1830,955,870,1830,845,235,265,1025,0
468,5350345.0,CT,Toronto,0.78754,3938,1328,1258,1945,1990,1255,1075,1075,3340,3340,3340,1260,200,1055,1255,1025,205,550,405,15
469,5350346.01,CT,Toronto,1.5199799999999999,4634,1717,1609,2270,2365,1605,1250,1250,3660,3660,3655,1610,355,1255,1610,1205,210,605,535,20
470,5350346.02,CT,Toronto,0.40049,5388,2066,2029,2505,2880,2030,1490,1490,4365,4365,4365,2030,470,1560,2030,1485,290,695,715,10
471,5350347.0,CT,Toronto,1.50409,2833,931,924,1445,1385,925,750,750,2205,2205,2205,920,180,740,920,715,160,395,280,10
472,5350348.0,CT,Toronto,2.31904,5601,2007,1972,2590,3010,1975,1530,1530,4515,4515,4515,1975,445,1530,1975,1490,375,765,600,40
473,5350349.0,CT,Toronto,0.8761700000000001,5720,2335,2309,2720,3000,2310,1525,1525,4780,4780,4780,2310,735,1575,2310,1510,315,685,995,25
474,5350350.0,CT,Toronto,3.3616599999999996,5419,2063,1986,2595,2825,1990,1450,1450,4510,4510,4510,1985,550,1435,1985,1400,360,680,775,20
475,5350351.01,CT,Toronto,0.9748600000000001,5497,2130,2051,2655,2845,2055,1520,1520,4595,4595,4595,2050,540,1515,2050,1445,315,705,795,10
476,5350351.02,CT,Toronto,0.56565,2756,1116,1088,1320,1440,1085,765,765,2340,2335,2335,1090,300,785,1085,750,200,300,455,10
477,5350352.0,CT,Toronto,1.1271200000000001,5309,1945,1892,2500,2810,1890,1405,1405,4355,4360,4355,1890,495,1400,1890,1340,295,705,705,15
478,5350353.02,CT,Toronto,1.21341,5305,1697,1649,2585,2725,1650,1445,1445,4340,4340,4345,1650,280,1370,1650,1340,290,725,470,0
479,5350353.03,CT,Toronto,0.40919,3107,1100,1075,1470,1640,1075,860,860,2605,2605,2605,1075,240,835,1075,820,160,455,355,0
480,5350353.04,CT,Toronto,0.62956,4509,1650,1590,2135,2375,1590,1210,1210,3595,3595,3595,1590,375,1215,1590,1175,200,595,540,10
481,5350354.0,CT,Toronto,1.33283,5403,1826,1695,2665,2740,1695,1450,1450,4415,4415,4415,1695,320,1375,1695,1340,315,715,560,25
482,5350355.02,CT,Toronto,1.105,5214,1980,1919,2440,2780,1920,1475,1475,4415,4420,4415,1920,460,1460,1915,1415,320,655,630,0
483,5350355.04,CT,Toronto,0.5770000000000001,5270,1810,1776,2420,2855,1775,1345,1345,3990,3990,3985,1775,390,1380,1775,1330,245,655,585,0
484,5350355.05,CT,Toronto,0.31432,3033,1056,993,1430,1600,995,760,760,2230,2230,2230,995,205,785,995,745,115,330,385,0
485,5350355.06,CT,Toronto,0.1923,1643,603,559,760,880,560,455,455,1240,1245,1240,560,115,445,560,440,40,170,150,0
486,5350356.0,CT,Toronto,1.55598,4833,1633,1555,2345,2490,1555,1270,1270,3875,3875,3880,1555,310,1245,1555,1200,285,680,515,15
487,5350357.01,CT,Toronto,1.05106,7123,2490,2404,3405,3720,2405,1805,1805,5500,5500,5500,2405,715,1690,2405,1630,310,895,930,0
488,5350357.02,CT,Toronto,1.10589,4940,1774,1693,2320,2625,1695,1375,1375,3725,3720,3720,1690,345,1345,1695,1305,190,500,525,0
489,5350358.01,CT,Toronto,1.1101299999999998,3397,1180,1129,1685,1715,1130,985,985,2865,2860,2865,1130,195,935,1125,925,250,425,310,10
490,5350358.02,CT,Toronto,0.6179100000000001,4732,2021,1955,2165,2570,1955,1200,1200,3930,3930,3930,1955,765,1190,1955,1165,230,475,890,0
491,5350358.03,CT,Toronto,1.09741,5598,2304,2217,2725,2875,2220,1355,1355,4540,4540,4540,2220,870,1350,2220,1310,245,575,1065,10
492,5350359.0,CT,Toronto,2.23634,7558,2773,2687,3525,4035,2685,2010,2010,6025,6025,6025,2690,670,2015,2685,1945,315,835,985,0
493,5350360.0,CT,Toronto,4.55616,6107,2040,1998,2975,3130,1995,1745,1745,5035,5035,5035,1995,290,1705,2000,1670,440,835,470,10
494,5350361.01,CT,Toronto,2.95729,5804,1963,1928,2845,2960,1925,1740,1740,4960,4960,4960,1930,240,1690,1930,1670,525,900,335,0
495,5350361.02,CT,Toronto,2.46272,7558,2476,2451,3640,3915,2450,2270,2270,6235,6235,6235,2450,265,2185,2450,2175,575,1225,380,0
496,5350362.01,CT,Toronto,2.5287900000000003,6300,2153,2083,2970,3330,2085,1780,1780,5250,5250,5245,2080,385,1695,2085,1680,345,865,525,0
497,5350362.02,CT,Toronto,1.9434900000000002,5628,1731,1626,2795,2830,1625,1565,1565,4875,4870,4875,1625,185,1435,1625,1415,305,895,365,15
498,5350362.03,CT,Toronto,3.3025800000000003,6866,2176,2074,3405,3460,2075,1945,1945,6060,6055,6055,2075,235,1840,2075,1775,440,1060,600,10
499,5350362.04,CT,Toronto,1.3530799999999998,5019,1796,1756,2360,2655,1755,1340,1340,4190,4190,4185,1760,465,1285,1760,1250,295,625,605,0
500,5350363.02,CT,Toronto,1.19757,3253,1115,1106,1560,1690,1105,930,930,2800,2800,2800,1105,200,905,1105,885,235,455,295,0
501,5350363.04,CT,Toronto,1.12713,3668,1119,1106,1820,1855,1105,1015,1015,3100,3100,3100,1105,150,960,1105,945,190,535,250,0
502,5350363.05,CT,Toronto,0.50329,4538,1776,1694,2180,2355,1695,1150,1150,3565,3565,3565,1690,430,1265,1695,1140,155,505,825,0
503,5350363.06,CT,Toronto,0.82891,7307,3439,3326,3440,3875,3325,2085,2085,6290,6290,6290,3325,1070,2260,3325,2085,710,785,1540,0
504,5350363.07,CT,Toronto,2.2765400000000002,5338,1971,1925,2655,2680,1925,1300,1300,4240,4235,4240,1925,595,1330,1925,1250,210,685,960,0
505,5350364.01,CT,Toronto,2.90673,5996,2034,1973,2895,3100,1975,1575,1575,4810,4810,4810,1975,425,1550,1975,1500,390,755,650,10
506,5350364.02,CT,Toronto,0.74379,3053,1004,957,1490,1560,960,820,820,2460,2460,2460,955,155,805,955,775,200,425,290,0
507,5350365.0,CT,Toronto,1.5674,6497,2028,1946,3210,3285,1945,1745,1745,5435,5435,5435,1945,270,1680,1950,1625,295,960,615,0
508,5350366.0,CT,Toronto,1.44064,6136,2143,2069,2950,3185,2070,1740,1740,5105,5105,5105,2065,400,1670,2070,1635,350,830,630,10
509,5350367.01,CT,Toronto,0.71324,4710,1398,1375,2405,2305,1375,1235,1235,3755,3755,3755,1375,150,1225,1375,1170,180,735,440,0
510,5350367.02,CT,Toronto,1.0306799999999998,3548,1218,1186,1755,1790,1190,1020,1020,3025,3020,3020,1190,210,975,1190,945,260,490,405,20
511,5350368.01,CT,Toronto,0.8884700000000001,6843,3786,3582,3075,3770,3580,1760,1760,6270,6270,6270,3580,1455,2120,3580,1810,810,540,2240,10
512,5350368.02,CT,Toronto,1.57328,4315,1464,1399,2085,2230,1395,1065,1065,3285,3285,3285,1400,370,1030,1400,1010,315,500,525,0
513,5350369.0,CT,Toronto,2.4665,8094,2520,2441,4000,4095,2440,2140,2140,6300,6300,6300,2440,375,2065,2440,2010,405,1140,600,10
514,5350370.01,CT,Toronto,1.76665,9977,3792,3725,4570,5400,3725,2705,2705,7945,7940,7940,3725,1015,2710,3725,2625,590,1295,1310,10
515,5350370.02,CT,Toronto,2.27382,5580,1849,1803,2665,2915,1805,1480,1480,4420,4415,4420,1805,350,1455,1805,1415,295,775,595,20
