GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5350124.00,CT,Toronto,0.55675,5416,3470,3278,25,50,75
5350125.00,CT,Toronto,1.12047,4442,1618,1543,20,30,50
5350126.00,CT,Toronto,1.44927,4248,1746,1693,15,45,60
5350127.00,CT,Toronto,0.74046,5450,2325,2236,10,45,65
5350128.02,CT,Toronto,0.51869,8705,5052,4766,25,45,70
5350128.04,CT,Toronto,0.16199,4698,2994,2927,20,10,30
5350128.05,CT,Toronto,0.18163,945,366,304,15,0,20
5350128.06,CT,Toronto,0.08584,4199,2601,2523,25,20,45
5350129.00,CT,Toronto,0.92741,5770,2787,2622,35,35,75
5350130.00,CT,Toronto,1.27901,3543,1365,1279,20,20,35
5350131.00,CT,Toronto,1.04439,5310,2505,2360,25,60,85
5350132.00,CT,Toronto,0.92464,5467,2155,2038,15,35,45
5350133.00,CT,Toronto,0.66745,7339,3629,3408,15,35,50
5350134.00,CT,Toronto,0.41704,2959,1076,1033,25,25,45
5350135.00,CT,Toronto,0.71622,6047,3316,3054,35,35,70
5350136.01,CT,Toronto,0.19196,6128,4023,3779,20,30,50
5350136.02,CT,Toronto,0.21013,4983,3459,3198,15,25,35
5350137.00,CT,Toronto,0.91421,7077,3644,3509,15,75,90
5350138.00,CT,Toronto,0.96546,3103,1250,1181,10,10,15
5350139.01,CT,Toronto,0.7736,4167,1904,1824,10,25,30
5350139.02,CT,Toronto,0.50952,2542,961,920,10,10,20
5350140.00,CT,Toronto,0.57204,2408,826,791,10,20,25
5350141.01,CT,Toronto,0.55041,4320,1685,1620,0,25,30
5350141.02,CT,Toronto,0.68759,4477,1624,1561,10,30,35
5350142.00,CT,Toronto,1.04392,5810,2313,2237,0,15,20
5350150.00,CT,Toronto,1.10899,4201,1640,1586,10,50,65
5350151.00,CT,Toronto,0.65559,3784,1577,1535,10,55,60
5350152.00,CT,Toronto,0.85463,4545,1846,1764,30,105,135
5350153.00,CT,Toronto,0.92761,4462,1783,1685,15,35,55
5350154.00,CT,Toronto,2.15888,6157,2899,2818,0,10,10
5350155.00,CT,Toronto,0.81296,3128,1316,1206,0,0,0
5350156.01,CT,Toronto,0.60545,5688,2365,2273,10,15,20
5350156.02,CT,Toronto,0.59201,2811,1124,1073,0,0,0
5350157.00,CT,Toronto,0.48528,2635,1107,1016,10,10,15
5350158.00,CT,Toronto,0.63989,2848,1346,1250,10,10,15
5350159.01,CT,Toronto,0.49247,3487,1386,1223,10,0,10
5350159.02,CT,Toronto,0.57532,4723,1843,1709,10,20,25
5350160.00,CT,Toronto,0.73445,3116,1246,1143,0,15,15
5350161.00,CT,Toronto,0.81126,6839,2689,2537,15,40,55
5350162.00,CT,Toronto,0.57575,5119,2059,1952,10,45,50
5350163.00,CT,Toronto,0.45422,4358,1882,1762,55,70,125
5350164.00,CT,Toronto,0.62823,6258,2629,2515,75,125,195
5350165.00,CT,Toronto,0.48493,4370,2031,1943,55,85,135
5350166.00,CT,Toronto,0.78603,4180,1691,1625,10,20,35
5350167.01,CT,Toronto,0.13411,1879,1483,1312,15,20,30
5350167.02,CT,Toronto,0.60145,5815,3143,2998,50,55,110
5350168.00,CT,Toronto,0.56552,5475,2665,2458,30,30,60
5350169.01,CT,Toronto,0.3781,3472,1457,1334,10,0,10
5350169.02,CT,Toronto,0.43778,7464,3318,3202,15,30,40
5350170.00,CT,Toronto,1.01423,3321,1305,1201,0,10,10
5350171.00,CT,Toronto,0.6081,4055,1613,1522,0,10,10
5350172.00,CT,Toronto,1.21015,2522,1183,1128,0,0,10
5350173.00,CT,Toronto,0.60145,3694,1528,1438,0,0,0
5350174.00,CT,Toronto,1.06328,7264,2751,2723,10,0,10
5350175.01,CT,Toronto,0.80126,6036,2551,2406,0,0,0
5350175.02,CT,Toronto,0.74248,7679,3813,3585,0,0,10
5350176.00,CT,Toronto,1.00471,4277,1697,1609,0,20,20
5350180.00,CT,Toronto,0.6138,6556,2875,2765,20,20,35
5350181.01,CT,Toronto,0.57055,4313,1940,1858,45,60,105
5350181.02,CT,Toronto,0.60182,3552,1664,1591,10,55,70
5350182.00,CT,Toronto,0.7605,5531,2297,2186,30,80,110
5350183.01,CT,Toronto,0.52409,2603,1048,1007,20,50,65
5350183.02,CT,Toronto,0.42813,3938,1584,1522,40,85,130
5350184.01,CT,Toronto,0.47406,5108,2346,2307,30,70,95
5350184.02,CT,Toronto,0.56201,3768,1694,1642,15,30,50
5350185.01,CT,Toronto,0.49919,6810,3507,3394,75,135,205
5350185.02,CT,Toronto,1.22887,4689,2305,2269,15,75,90
5350186.00,CT,Toronto,1.91076,2416,949,913,15,10,30
5350187.00,CT,Toronto,1.21045,3448,1424,1351,15,40,55
5350188.00,CT,Toronto,0.55199,2017,842,797,25,20,40
5350189.00,CT,Toronto,1.23951,5462,2226,2180,0,20,25
5350190.01,CT,Toronto,0.40227,9127,3577,3507,0,15,20
5350190.02,CT,Toronto,0.5813,4765,2102,2026,10,15,20
5350191.00,CT,Toronto,0.82303,4229,1853,1779,15,25,40
5350192.00,CT,Toronto,0.92037,905,462,440,0,0,0
5350193.00,CT,Toronto,1.41592,3314,1070,1043,0,10,10
5350194.01,CT,Toronto,0.2315,5498,1482,1463,0,25,25
5350194.02,CT,Toronto,0.34635,6240,1934,1923,10,10,10
5350194.03,CT,Toronto,0.25016,2933,1238,1229,0,10,0
5350194.04,CT,Toronto,2.29209,6437,2571,2508,10,15,20
5350195.01,CT,Toronto,0.9462,4483,1656,1604,25,35,60
5350195.02,CT,Toronto,0.37813,2317,920,894,25,25,45
5350196.01,CT,Toronto,0.3774,1977,811,775,10,15,25
5350196.02,CT,Toronto,1.10548,5635,2376,2250,30,50,75
5350200.01,CT,Toronto,0.6408,5614,3143,3055,0,65,70
5350200.02,CT,Toronto,0.14209,981,680,649,10,10,15
5350201.00,CT,Toronto,0.75952,5371,2989,2776,10,40,50
5350202.00,CT,Toronto,0.33589,1647,653,631,15,10,25
5350203.00,CT,Toronto,0.58927,3160,1507,1431,0,20,25
5350204.00,CT,Toronto,0.74088,4537,2310,2210,30,80,105
5350205.00,CT,Toronto,0.73372,149,0,0,x,x,x
5350206.01,CT,Toronto,1.13878,4217,2151,2041,20,25,45
5350206.02,CT,Toronto,1.08513,5867,2994,2774,10,50,65
5350207.00,CT,Toronto,0.67366,2605,1285,1181,0,15,25
5350208.00,CT,Toronto,1.29403,4172,2062,1981,10,20,25
5350209.00,CT,Toronto,0.69308,2718,1338,1252,10,10,20
5350210.01,CT,Toronto,2.96012,3083,1008,971,0,15,20
5350210.02,CT,Toronto,0.94935,11390,9168,7016,30,50,85
5350211.00,CT,Toronto,3.27116,6350,2512,2447,15,30,40
5350212.00,CT,Toronto,1.70654,5704,2220,2169,0,20,25
5350213.01,CT,Toronto,0.94226,2666,1021,990,10,10,15
5350213.02,CT,Toronto,7.04474,6045,3246,3134,0,10,0
5350214.00,CT,Toronto,2.82378,5069,2466,2389,0,15,15
5350215.00,CT,Toronto,2.60049,6748,2991,2789,20,30,55
